country;variable;percentile;year;value;age;pop
BD;npopul951i;p0p100;1950;125.0;951;i
BD;npopul951i;p0p100;1951;191.0;951;i
BD;npopul951i;p0p100;1952;319.0;951;i
BD;npopul951i;p0p100;1953;410.0;951;i
BD;npopul951i;p0p100;1954;373.0;951;i
BD;npopul951i;p0p100;1955;125.0;951;i
BD;npopul951i;p0p100;1956;191.0;951;i
BD;npopul951i;p0p100;1957;320.0;951;i
BD;npopul951i;p0p100;1958;413.0;951;i
BD;npopul951i;p0p100;1959;380.0;951;i
BD;npopul951i;p0p100;1960;138.0;951;i
BD;npopul951i;p0p100;1961;197.0;951;i
BD;npopul951i;p0p100;1962;320.0;951;i
BD;npopul951i;p0p100;1963;410.0;951;i
BD;npopul951i;p0p100;1964;384.0;951;i
BD;npopul951i;p0p100;1965;165.0;951;i
BD;npopul951i;p0p100;1966;252.0;951;i
BD;npopul951i;p0p100;1967;412.0;951;i
BD;npopul951i;p0p100;1968;528.0;951;i
BD;npopul951i;p0p100;1969;493.0;951;i
BD;npopul951i;p0p100;1970;219.0;951;i
BD;npopul951i;p0p100;1971;305.0;951;i
BD;npopul951i;p0p100;1972;460.0;951;i
BD;npopul951i;p0p100;1973;570.0;951;i
BD;npopul951i;p0p100;1974;529.0;951;i
BD;npopul951i;p0p100;1975;243.0;951;i
BD;npopul951i;p0p100;1976;322.0;951;i
BD;npopul951i;p0p100;1977;472.0;951;i
BD;npopul951i;p0p100;1978;581.0;951;i
BD;npopul951i;p0p100;1979;542.0;951;i
BD;npopul951i;p0p100;1980;259.0;951;i
BD;npopul951i;p0p100;1981;352.0;951;i
BD;npopul951i;p0p100;1982;534.0;951;i
BD;npopul951i;p0p100;1983;670.0;951;i
BD;npopul951i;p0p100;1984;636.0;951;i
BD;npopul951i;p0p100;1985;315.0;951;i
BD;npopul951i;p0p100;1986;464.0;951;i
BD;npopul951i;p0p100;1987;737.0;951;i
BD;npopul951i;p0p100;1988;943.0;951;i
BD;npopul951i;p0p100;1989;912.0;951;i
BD;npopul951i;p0p100;1990;497.0;951;i
BD;npopul951i;p0p100;1991;706.0;951;i
BD;npopul951i;p0p100;1992;1096.0;951;i
BD;npopul951i;p0p100;1993;1408.0;951;i
BD;npopul951i;p0p100;1994;1405.0;951;i
BD;npopul951i;p0p100;1995;880.0;951;i
BD;npopul951i;p0p100;1996;1311.0;951;i
BD;npopul951i;p0p100;1997;2018.0;951;i
BD;npopul951i;p0p100;1998;2618.0;951;i
BD;npopul951i;p0p100;1999;2811.0;951;i
BD;npopul951i;p0p100;2000;2364.0;951;i
BD;npopul951i;p0p100;2001;3138.0;951;i
BD;npopul951i;p0p100;2002;4333.0;951;i
BD;npopul951i;p0p100;2003;5365.0;951;i
BD;npopul951i;p0p100;2004;5723.0;951;i
BD;npopul951i;p0p100;2005;4998.0;951;i
BD;npopul951i;p0p100;2006;6351.0;951;i
BD;npopul951i;p0p100;2007;8455.0;951;i
BD;npopul951i;p0p100;2008;10337.0;951;i
