country;variable;percentile;year;value;age;pop
BW;afdinx992i;p0p100;1975;1582.1;992;i
BW;afdinx992i;p0p100;1976;-1370.1;992;i
BW;afdinx992i;p0p100;1977;-1024.8;992;i
BW;afdinx992i;p0p100;1978;-2729.6001;992;i
BW;afdinx992i;p0p100;1979;-3831.6001;992;i
BW;afdinx992i;p0p100;1980;-6929.2002;992;i
BW;afdinx992i;p0p100;1981;-1173.2;992;i
BW;afdinx992i;p0p100;1982;-1115.9;992;i
BW;afdinx992i;p0p100;1983;-6506.8999;992;i
BW;afdinx992i;p0p100;1984;-11650.7;992;i
BW;afdinx992i;p0p100;1985;-10850.6;992;i
BW;afdinx992i;p0p100;1986;-9915.7002;992;i
BW;afdinx992i;p0p100;1987;-15012.1;992;i
BW;afdinx992i;p0p100;1988;-11985.2;992;i
BW;afdinx992i;p0p100;1989;-10171.5;992;i
BW;afdinx992i;p0p100;1990;-10276.4;992;i
BW;afdinx992i;p0p100;1991;-7764.0;992;i
BW;afdinx992i;p0p100;1992;-6553.2998;992;i
BW;afdinx992i;p0p100;1993;-1416.4;992;i
BW;afdinx992i;p0p100;1994;-5382.1001;992;i
BW;afdinx992i;p0p100;1995;-7958.2002;992;i
BW;afdinx992i;p0p100;1996;-14093.9;992;i
BW;afdinx992i;p0p100;1997;-14424.7;992;i
BW;afdinx992i;p0p100;1998;-8518.4004;992;i
BW;afdinx992i;p0p100;1999;-12260.8;992;i
BW;afdinx992i;p0p100;2000;-12370.1;992;i
BW;afdinx992i;p0p100;2001;-7815.3999;992;i
BW;afdinx992i;p0p100;2002;-18369.9;992;i
BW;afdinx992i;p0p100;2003;-12942.9;992;i
BW;afdinx992i;p0p100;2004;-14192.2;992;i
BW;afdinx992i;p0p100;2005;-10965.9;992;i
BW;afdinx992i;p0p100;2006;-10837.5;992;i
BW;afdinx992i;p0p100;2007;-12222.2;992;i
BW;afdinx992i;p0p100;2008;-14113.2;992;i
BW;afdinx992i;p0p100;2009;-5213.5;992;i
BW;afdinx992i;p0p100;2010;-7233.2002;992;i
BW;afdinx992i;p0p100;2011;-2437.3999;992;i
BW;afdinx992i;p0p100;2012;-1203.2;992;i
BW;afdinx992i;p0p100;2013;-5314.6001;992;i
BW;afdinx992i;p0p100;2014;-4714.1001;992;i
BW;afdinx992i;p0p100;2015;-4112.1001;992;i
BW;afdinx992i;p0p100;2016;-11761.5;992;i
BW;afdinx992i;p0p100;2017;-9871.2002;992;i
BW;afdinx992i;p0p100;2018;-9688.7998;992;i
BW;aptfop992i;p0p100;1975;110.4;992;i
BW;aptfop992i;p0p100;1976;523.40002;992;i
BW;aptfop992i;p0p100;1977;465.79999;992;i
BW;aptfop992i;p0p100;1978;989.20001;992;i
BW;aptfop992i;p0p100;1979;1646.6;992;i
BW;aptfop992i;p0p100;1980;1252.3;992;i
BW;aptfop992i;p0p100;1981;1309.1;992;i
BW;aptfop992i;p0p100;1982;1843.0;992;i
BW;aptfop992i;p0p100;1983;3165.0;992;i
BW;aptfop992i;p0p100;1984;2539.3;992;i
BW;aptfop992i;p0p100;1985;8366.7002;992;i
BW;aptfop992i;p0p100;1986;6934.0;992;i
BW;aptfop992i;p0p100;1987;6599.1001;992;i
BW;aptfop992i;p0p100;1988;15933.9;992;i
BW;aptfop992i;p0p100;1989;5290.1001;992;i
BW;aptfop992i;p0p100;1990;1543.1;992;i
BW;aptfop992i;p0p100;1991;1422.2;992;i
BW;aptfop992i;p0p100;1992;1974.0;992;i
BW;aptfop992i;p0p100;1993;3333.8;992;i
BW;aptfop992i;p0p100;1994;3464.6001;992;i
BW;aptfop992i;p0p100;1995;1285.7;992;i
BW;aptfop992i;p0p100;1996;1094.5;992;i
BW;aptfop992i;p0p100;1997;1033.5;992;i
BW;aptfop992i;p0p100;1998;1017.6;992;i
BW;aptfop992i;p0p100;1999;763.09998;992;i
BW;aptfop992i;p0p100;2000;326.39999;992;i
BW;aptfop992i;p0p100;2001;1942.0;992;i
BW;aptfop992i;p0p100;2002;282.29999;992;i
BW;aptfop992i;p0p100;2003;191.10001;992;i
BW;aptfop992i;p0p100;2004;455.79999;992;i
BW;aptfop992i;p0p100;2005;1186.0;992;i
BW;aptfop992i;p0p100;2006;2084.3999;992;i
BW;aptfop992i;p0p100;2007;1167.1;992;i
BW;aptfop992i;p0p100;2008;540.0;992;i
BW;aptfop992i;p0p100;2009;436.79999;992;i
BW;aptfop992i;p0p100;2010;2147.2;992;i
BW;aptfop992i;p0p100;2011;2162.1001;992;i
BW;aptfop992i;p0p100;2012;2813.1001;992;i
BW;aptfop992i;p0p100;2013;3217.8;992;i
BW;aptfop992i;p0p100;2014;1369.2;992;i
BW;aptfop992i;p0p100;2015;2347.8999;992;i
BW;aptfop992i;p0p100;2016;2043.1;992;i
BW;aptfop992i;p0p100;2017;3082.3999;992;i
BW;aptfop992i;p0p100;2018;2514.7;992;i
BW;aptinc992j;p6p100;1985;55123.898;992;j
BW;aptinc992j;p6p100;1986;60957.398;992;j
BW;aptinc992j;p6p100;1987;60380.102;992;j
BW;aptinc992j;p6p100;1988;66302.0;992;j
BW;aptinc992j;p6p100;1989;87888.203;992;j
BW;aptinc992j;p6p100;1990;93713.797;992;j
BW;aptinc992j;p6p100;1991;100457.5;992;j
BW;aptinc992j;p6p100;1992;98665.102;992;j
BW;aptinc992j;p6p100;1993;101271.3;992;j
BW;aptinc992j;p6p100;1994;87984.398;992;j
BW;aptinc992j;p6p100;1995;95036.398;992;j
BW;aptinc992j;p6p100;1996;92737.0;992;j
BW;aptinc992j;p6p100;1997;101020.8;992;j
BW;aptinc992j;p6p100;1998;104633.7;992;j
BW;aptinc992j;p6p100;1999;102831.7;992;j
BW;aptinc992j;p6p100;2000;100131.0;992;j
BW;aptinc992j;p6p100;2001;100265.3;992;j
BW;aptinc992j;p6p100;2002;91155.297;992;j
BW;aptinc992j;p6p100;2003;89422.297;992;j
BW;aptinc992j;p6p100;2004;87364.703;992;j
BW;aptinc992j;p6p100;2005;93005.0;992;j
BW;aptinc992j;p6p100;2006;98819.898;992;j
BW;aptinc992j;p6p100;2007;103863.8;992;j
BW;aptinc992j;p6p100;2008;104310.4;992;j
BW;aptinc992j;p6p100;2009;96030.297;992;j
BW;aptinc992j;p6p100;2010;100188.8;992;j
BW;aptinc992j;p6p100;2011;110324.5;992;j
BW;aptinc992j;p6p100;2012;111728.0;992;j
BW;aptinc992j;p6p100;2013;118379.3;992;j
BW;aptinc992j;p6p100;2014;123746.4;992;j
BW;aptinc992j;p6p100;2015;119352.7;992;j
BW;aptinc992j;p6p100;2016;114210.7;992;j
BW;aptinc992j;p6p100;2017;116150.3;992;j
BW;aptinc992j;p99.995p100;1985;15597681.0;992;j
BW;aptinc992j;p99.995p100;1986;22346178.0;992;j
BW;aptinc992j;p99.995p100;1987;27844102.0;992;j
BW;aptinc992j;p99.995p100;1988;37538008.0;992;j
BW;aptinc992j;p99.995p100;1989;59862652.0;992;j
BW;aptinc992j;p99.995p100;1990;75483416.0;992;j
BW;aptinc992j;p99.995p100;1991;94294496.0;992;j
BW;aptinc992j;p99.995p100;1992;106571408.0;992;j
BW;aptinc992j;p99.995p100;1993;124502208.0;992;j
BW;aptinc992j;p99.995p100;1994;97782472.0;992;j
BW;aptinc992j;p99.995p100;1995;95074488.0;992;j
BW;aptinc992j;p99.995p100;1996;83132720.0;992;j
BW;aptinc992j;p99.995p100;1997;80753464.0;992;j
BW;aptinc992j;p99.995p100;1998;74197016.0;992;j
BW;aptinc992j;p99.995p100;1999;64323696.0;992;j
BW;aptinc992j;p99.995p100;2000;54918596.0;992;j
BW;aptinc992j;p99.995p100;2001;47904856.0;992;j
BW;aptinc992j;p99.995p100;2002;37673160.0;992;j
BW;aptinc992j;p99.995p100;2003;38413256.0;992;j
BW;aptinc992j;p99.995p100;2004;38989588.0;992;j
BW;aptinc992j;p99.995p100;2005;43101440.0;992;j
BW;aptinc992j;p99.995p100;2006;47533708.0;992;j
BW;aptinc992j;p99.995p100;2007;51831844.0;992;j
BW;aptinc992j;p99.995p100;2008;53981020.0;992;j
