country;variable;percentile;year;value;age;pop
GW;aedugo992i;p0p100;1986;22130.199;992;i
GW;aedugo992i;p0p100;1987;19142.0;992;i
GW;aptinc992j;p57p100;1990;1843506.3;992;j
GW;aptinc992j;p57p100;1991;1873113.6;992;j
GW;aptinc992j;p57p100;1992;1813247.3;992;j
GW;aptinc992j;p57p100;1993;1751936.0;992;j
GW;aptinc992j;p57p100;1994;1771527.8;992;j
GW;aptinc992j;p57p100;1995;1816372.9;992;j
GW;aptinc992j;p57p100;1996;1984111.9;992;j
GW;aptinc992j;p57p100;1997;2087787.8;992;j
GW;aptinc992j;p57p100;1998;1434278.3;992;j
GW;aptinc992j;p57p100;1999;1417225.4;992;j
GW;aptinc992j;p57p100;2000;1460944.3;992;j
GW;aptinc992j;p57p100;2001;1456487.5;992;j
GW;aptinc992j;p57p100;2002;1408986.8;992;j
GW;aptinc992j;p57p100;2003;1393129.8;992;j
GW;aptinc992j;p57p100;2004;1406868.9;992;j
GW;aptinc992j;p57p100;2005;1446084.0;992;j
GW;aptinc992j;p57p100;2006;1454990.8;992;j
GW;aptinc992j;p57p100;2007;1475245.6;992;j
GW;aptinc992j;p57p100;2008;1486721.0;992;j
GW;aptinc992j;p57p100;2009;1509920.3;992;j
GW;aptinc992j;p57p100;2010;1565679.6;992;j
GW;aptinc992j;p57p100;2011;1618553.5;992;j
GW;aptinc992j;p57p100;2012;1508792.5;992;j
GW;aptinc992j;p57p100;2013;1556595.5;992;j
GW;aptinc992j;p57p100;2014;1591644.4;992;j
GW;aptinc992j;p57p100;2015;1621146.6;992;j
GW;aptinc992j;p57p100;2016;1653962.5;992;j
GW;aptinc992j;p57p100;2017;1693374.5;992;j
GW;aptinc992j;p99.95p100;1990;109685248.0;992;j
GW;aptinc992j;p99.95p100;1991;111446824.0;992;j
GW;aptinc992j;p99.95p100;1992;98071880.0;992;j
GW;aptinc992j;p99.95p100;1993;84811560.0;992;j
GW;aptinc992j;p99.95p100;1994;82303272.0;992;j
GW;aptinc992j;p99.95p100;1995;80822992.0;992;j
GW;aptinc992j;p99.95p100;1996;84374440.0;992;j
GW;aptinc992j;p99.95p100;1997;84648040.0;992;j
GW;aptinc992j;p99.95p100;1998;55300120.0;992;j
GW;aptinc992j;p99.95p100;1999;51815892.0;992;j
GW;aptinc992j;p99.95p100;2000;50493644.0;992;j
GW;aptinc992j;p99.95p100;2001;47423804.0;992;j
