country;variable;percentile;year;value;age;pop
LS;afdinx992i;p0p100;1975;-293.70001;992;i
LS;afdinx992i;p0p100;1976;-299.10001;992;i
LS;afdinx992i;p0p100;1977;-316.70001;992;i
LS;afdinx992i;p0p100;1978;-295.89999;992;i
LS;afdinx992i;p0p100;1979;-274.20001;992;i
LS;afdinx992i;p0p100;1980;-222.2;992;i
LS;afdinx992i;p0p100;1981;-198.39999;992;i
LS;afdinx992i;p0p100;1982;-318.10001;992;i
LS;afdinx992i;p0p100;1983;-369.79999;992;i
LS;afdinx992i;p0p100;1984;-485.60001;992;i
LS;afdinx992i;p0p100;1985;-498.10001;992;i
LS;afdinx992i;p0p100;1986;-412.20001;992;i
LS;afdinx992i;p0p100;1987;-255.2;992;i
LS;afdinx992i;p0p100;1988;-323.29999;992;i
LS;afdinx992i;p0p100;1989;-558.09998;992;i
LS;afdinx992i;p0p100;1990;-609.79999;992;i
LS;afdinx992i;p0p100;1991;-1309.1;992;i
LS;afdinx992i;p0p100;1992;-1199.7;992;i
LS;afdinx992i;p0p100;1993;-960.09998;992;i
LS;afdinx992i;p0p100;1994;-1052.1;992;i
LS;afdinx992i;p0p100;1995;-1290.2;992;i
LS;afdinx992i;p0p100;1996;-1240.3;992;i
LS;afdinx992i;p0p100;1997;-896.0;992;i
LS;afdinx992i;p0p100;1998;-1931.8;992;i
LS;afdinx992i;p0p100;1999;-532.79999;992;i
LS;afdinx992i;p0p100;2000;-1789.2;992;i
LS;afdinx992i;p0p100;2001;-2648.1001;992;i
LS;afdinx992i;p0p100;2002;-3067.1001;992;i
LS;afdinx992i;p0p100;2003;-2831.1001;992;i
LS;afdinx992i;p0p100;2004;-2819.7;992;i
LS;afdinx992i;p0p100;2005;-129.2;992;i
LS;afdinx992i;p0p100;2006;-920.40002;992;i
LS;afdinx992i;p0p100;2007;-697.79999;992;i
LS;afdinx992i;p0p100;2008;-1530.0;992;i
LS;afdinx992i;p0p100;2009;-1890.2;992;i
LS;afdinx992i;p0p100;2010;-1085.2;992;i
LS;afdinx992i;p0p100;2011;-2316.7;992;i
LS;afdinx992i;p0p100;2012;-2347.2;992;i
LS;afdinx992i;p0p100;2013;-2214.2;992;i
LS;afdinx992i;p0p100;2014;-1653.4;992;i
LS;afdinx992i;p0p100;2015;-1669.3;992;i
LS;afdinx992i;p0p100;2016;-1574.2;992;i
LS;afdinx992i;p0p100;2017;-1494.3;992;i
LS;afdinx992i;p0p100;2018;-1488.9;992;i
LS;apinnx992i;p0p100;1975;55.5;992;i
LS;apinnx992i;p0p100;1976;43.299999;992;i
LS;apinnx992i;p0p100;1977;31.299999;992;i
LS;apinnx992i;p0p100;1978;19.299999;992;i
LS;apinnx992i;p0p100;1979;60.799999;992;i
LS;apinnx992i;p0p100;1980;84.599998;992;i
LS;apinnx992i;p0p100;1981;77.199997;992;i
LS;apinnx992i;p0p100;1982;-194.39999;992;i
LS;apinnx992i;p0p100;1983;58.900002;992;i
LS;apinnx992i;p0p100;1984;142.39999;992;i
LS;apinnx992i;p0p100;1985;98.400002;992;i
LS;apinnx992i;p0p100;1986;51.299999;992;i
LS;apinnx992i;p0p100;1987;-11.6;992;i
LS;apinnx992i;p0p100;1988;-92.199997;992;i
LS;apinnx992i;p0p100;1989;-344.20001;992;i
LS;apinnx992i;p0p100;1990;35.5;992;i
LS;apinnx992i;p0p100;1991;-363.20001;992;i
LS;apinnx992i;p0p100;1992;-423.0;992;i
LS;apinnx992i;p0p100;1993;75.699997;992;i
LS;apinnx992i;p0p100;1994;136.2;992;i
LS;apinnx992i;p0p100;1995;186.2;992;i
LS;apinnx992i;p0p100;1996;226.0;992;i
LS;apinnx992i;p0p100;1997;-140.2;992;i
LS;apinnx992i;p0p100;1998;-916.09998;992;i
LS;apinnx992i;p0p100;1999;1061.0;992;i
LS;apinnx992i;p0p100;2000;-319.70001;992;i
LS;apinnx992i;p0p100;2001;-1351.1;992;i
LS;apinnx992i;p0p100;2002;-1845.1;992;i
LS;apinnx992i;p0p100;2003;-1386.0;992;i
LS;apinnx992i;p0p100;2004;-1164.9;992;i
LS;apinnx992i;p0p100;2005;957.20001;992;i
LS;apinnx992i;p0p100;2006;806.09998;992;i
LS;apinnx992i;p0p100;2007;502.0;992;i
LS;apinnx992i;p0p100;2008;722.79999;992;i
LS;apinnx992i;p0p100;2009;187.7;992;i
LS;apinnx992i;p0p100;2010;351.39999;992;i
LS;apinnx992i;p0p100;2011;-1625.7;992;i
LS;apinnx992i;p0p100;2012;-1750.0;992;i
LS;apinnx992i;p0p100;2013;-1413.2;992;i
LS;apinnx992i;p0p100;2014;-753.0;992;i
LS;apinnx992i;p0p100;2015;-1103.9;992;i
LS;apinnx992i;p0p100;2016;-1012.2;992;i
LS;apinnx992i;p0p100;2017;-1074.0;992;i
LS;apinnx992i;p0p100;2018;-1067.8;992;i
LS;apolgo999i;p0p100;1972;99.800003;999;i
LS;apolgo999i;p0p100;1973;96.0;999;i
LS;apolgo999i;p0p100;1974;107.1;999;i
LS;apolgo999i;p0p100;1975;131.89999;999;i
LS;apolgo999i;p0p100;1976;148.3;999;i
LS;apolgo999i;p0p100;1977;160.10001;999;i
LS;apolgo999i;p0p100;1978;205.5;999;i
LS;apolgo999i;p0p100;1979;250.7;999;i
LS;apolgo999i;p0p100;1980;443.70001;999;i
LS;apolgo999i;p0p100;1981;391.60001;999;i
LS;apolgo999i;p0p100;1982;609.29999;999;i
LS;apolgo999i;p0p100;1983;462.10001;999;i
LS;apolgo999i;p0p100;1984;408.0;999;i
LS;apolgo999i;p0p100;1985;485.10001;999;i
LS;apolgo999i;p0p100;1986;531.79999;999;i
LS;apolgo999i;p0p100;1987;474.89999;999;i
LS;apolgo999i;p0p100;1988;421.0;999;i
LS;apolgo999i;p0p100;1989;337.10001;999;i
LS;apolgo999i;p0p100;1990;294.60001;999;i
LS;apolgo999i;p0p100;1991;283.60001;999;i
LS;apolgo999i;p0p100;1992;298.89999;999;i
LS;apolgo999i;p0p100;1993;276.10001;999;i
LS;apolgo999i;p0p100;1994;35.400002;999;i
LS;apolgo999i;p0p100;1995;405.10001;999;i
LS;apolgo999i;p0p100;1996;351.10001;999;i
LS;apolgo999i;p0p100;1997;378.60001;999;i
LS;apolgo999i;p0p100;1998;481.89999;999;i
LS;apolgo999i;p0p100;1999;415.70001;999;i
LS;apolgo999i;p0p100;2000;407.39999;999;i
LS;apolgo999i;p0p100;2001;403.5;999;i
LS;aptinc992j;p22p23;1986;6138.7002;992;j
LS;aptinc992j;p22p23;1987;6455.7998;992;j
LS;aptinc992j;p22p23;1988;5706.2998;992;j
LS;aptinc992j;p22p23;1989;5557.3999;992;j
LS;aptinc992j;p22p23;1990;5514.0;992;j
LS;aptinc992j;p22p23;1991;5262.7002;992;j
LS;aptinc992j;p22p23;1992;4990.7002;992;j
LS;aptinc992j;p22p23;1993;4652.8999;992;j
LS;aptinc992j;p22p23;1994;3654.8;992;j
LS;aptinc992j;p22p23;1995;3845.3;992;j
LS;aptinc992j;p22p23;1996;4079.8;992;j
LS;aptinc992j;p22p23;1997;4258.7998;992;j
LS;aptinc992j;p22p23;1998;4205.7998;992;j
LS;aptinc992j;p22p23;1999;4445.2998;992;j
LS;aptinc992j;p22p23;2000;4594.2002;992;j
LS;aptinc992j;p22p23;2001;4762.3999;992;j
LS;aptinc992j;p22p23;2002;5090.5;992;j
LS;aptinc992j;p22p23;2003;5217.1001;992;j
LS;aptinc992j;p22p23;2004;4994.1001;992;j
LS;aptinc992j;p22p23;2005;5145.1001;992;j
LS;aptinc992j;p22p23;2006;5171.3999;992;j
LS;aptinc992j;p22p23;2007;5099.6001;992;j
LS;aptinc992j;p22p23;2008;5146.2998;992;j
LS;aptinc992j;p22p23;2009;4918.7002;992;j
LS;aptinc992j;p22p23;2010;4933.0;992;j
LS;aptinc992j;p22p23;2011;4822.2002;992;j
LS;aptinc992j;p22p23;2012;4914.2002;992;j
LS;aptinc992j;p22p23;2013;4880.2998;992;j
LS;aptinc992j;p22p23;2014;4813.7002;992;j
LS;aptinc992j;p22p23;2015;4896.3999;992;j
LS;aptinc992j;p22p23;2016;5300.0;992;j
LS;aptinc992j;p22p23;2017;5147.8999;992;j
LS;aptinc992j;p59p60;1986;21936.1;992;j
LS;aptinc992j;p59p60;1987;23530.199;992;j
LS;aptinc992j;p59p60;1988;21229.6;992;j
LS;aptinc992j;p59p60;1989;21119.699;992;j
LS;aptinc992j;p59p60;1990;21419.5;992;j
LS;aptinc992j;p59p60;1991;20915.1;992;j
LS;aptinc992j;p59p60;1992;20309.1;992;j
LS;aptinc992j;p59p60;1993;19404.801;992;j
LS;aptinc992j;p59p60;1994;18735.4;992;j
LS;aptinc992j;p59p60;1995;18225.0;992;j
LS;aptinc992j;p59p60;1996;18093.5;992;j
LS;aptinc992j;p59p60;1997;17837.9;992;j
LS;aptinc992j;p59p60;1998;16760.9;992;j
LS;aptinc992j;p59p60;1999;16956.5;992;j
LS;aptinc992j;p59p60;2000;16857.5;992;j
LS;aptinc992j;p59p60;2001;16878.9;992;j
LS;aptinc992j;p59p60;2002;17487.1;992;j
LS;aptinc992j;p59p60;2003;18094.199;992;j
LS;aptinc992j;p59p60;2004;17492.5;992;j
LS;aptinc992j;p59p60;2005;18203.801;992;j
LS;aptinc992j;p59p60;2006;18487.9;992;j
LS;aptinc992j;p59p60;2007;18427.0;992;j
LS;aptinc992j;p59p60;2008;18799.301;992;j
LS;aptinc992j;p59p60;2009;18171.801;992;j
LS;aptinc992j;p59p60;2010;18437.699;992;j
LS;aptinc992j;p59p60;2011;18023.6;992;j
LS;aptinc992j;p59p60;2012;18367.199;992;j
LS;aptinc992j;p59p60;2013;18240.5;992;j
LS;aptinc992j;p59p60;2014;17991.801;992;j
LS;aptinc992j;p59p60;2015;18300.9;992;j
LS;aptinc992j;p59p60;2016;19809.199;992;j
LS;aptinc992j;p59p60;2017;19240.9;992;j
LS;aptinc992j;p93p100;1986;366863.0;992;j
LS;aptinc992j;p93p100;1987;395486.09;992;j
LS;aptinc992j;p93p100;1988;358617.31;992;j
LS;aptinc992j;p93p100;1989;358570.41;992;j
LS;aptinc992j;p93p100;1990;365530.59;992;j
LS;aptinc992j;p93p100;1991;358765.41;992;j
LS;aptinc992j;p93p100;1992;350188.91;992;j
LS;aptinc992j;p93p100;1993;336352.59;992;j
LS;aptinc992j;p93p100;1994;380486.59;992;j
LS;aptinc992j;p93p100;1995;346120.09;992;j
LS;aptinc992j;p93p100;1996;321910.59;992;j
LS;aptinc992j;p93p100;1997;297780.91;992;j
LS;aptinc992j;p93p100;1998;262901.81;992;j
LS;aptinc992j;p93p100;1999;250214.5;992;j
LS;aptinc992j;p93p100;2000;234276.3;992;j
LS;aptinc992j;p93p100;2001;221125.3;992;j
LS;aptinc992j;p93p100;2002;216142.7;992;j
LS;aptinc992j;p93p100;2003;226905.41;992;j
LS;aptinc992j;p93p100;2004;222564.3;992;j
LS;aptinc992j;p93p100;2005;235006.41;992;j
LS;aptinc992j;p93p100;2006;242174.0;992;j
LS;aptinc992j;p93p100;2007;244922.8;992;j
LS;aptinc992j;p93p100;2008;253554.7;992;j
LS;aptinc992j;p93p100;2009;248709.7;992;j
LS;aptinc992j;p93p100;2010;256083.2;992;j
LS;aptinc992j;p93p100;2011;250331.09;992;j
LS;aptinc992j;p93p100;2012;255103.59;992;j
LS;aptinc992j;p93p100;2013;253344.8;992;j
LS;aptinc992j;p93p100;2014;249890.5;992;j
LS;aptinc992j;p93p100;2015;254183.5;992;j
LS;aptinc992j;p93p100;2016;275132.5;992;j
LS;aptinc992j;p93p100;2017;267238.31;992;j
LS;aptinc992j;p99.92p100;1986;4915381.5;992;j
LS;aptinc992j;p99.92p100;1987;5170301.0;992;j
LS;aptinc992j;p99.92p100;1988;4572348.5;992;j
LS;aptinc992j;p99.92p100;1989;4456478.0;992;j
LS;aptinc992j;p99.92p100;1990;4426178.5;992;j
LS;aptinc992j;p99.92p100;1991;4230336.5;992;j
LS;aptinc992j;p99.92p100;1992;4018735.5;992;j
LS;aptinc992j;p99.92p100;1993;3754571.0;992;j
LS;aptinc992j;p99.92p100;1994;3553031.5;992;j
LS;aptinc992j;p99.92p100;1995;3212471.0;992;j
LS;aptinc992j;p99.92p100;1996;2968818.0;992;j
LS;aptinc992j;p99.92p100;1997;2728073.3;992;j
LS;aptinc992j;p99.92p100;1998;2391830.3;992;j
LS;aptinc992j;p99.92p100;1999;2259871.8;992;j
LS;aptinc992j;p99.92p100;2000;2099813.8;992;j
LS;aptinc992j;p99.92p100;2001;1966106.5;992;j
LS;aptinc992j;p99.92p100;2002;1905671.5;992;j
LS;aptinc992j;p99.92p100;2003;1961563.5;992;j
LS;aptinc992j;p99.92p100;2004;1886882.3;992;j
LS;aptinc992j;p99.92p100;2005;1954255.1;992;j
