country;variable;percentile;year;value;age;pop
MG;aflcip992i;p0p100;1970;239903.91;992;i
MG;aflcip992i;p0p100;1971;185111.5;992;i
MG;aflcip992i;p0p100;1972;160425.09;992;i
MG;aflcip992i;p0p100;1973;94435.703;992;i
MG;aflcip992i;p0p100;1974;94598.398;992;i
MG;aflcip992i;p0p100;1975;69470.602;992;i
MG;aflcip992i;p0p100;1976;63223.699;992;i
MG;aflcip992i;p0p100;1977;22328.0;992;i
MG;aflcip992i;p0p100;1978;28169.6;992;i
MG;aflcip992i;p0p100;1979;58139.398;992;i
MG;aflcip992i;p0p100;1980;76273.102;992;i
MG;aflcip992i;p0p100;1981;150028.41;992;i
MG;aflcip992i;p0p100;1982;159329.41;992;i
MG;aflcip992i;p0p100;1983;188173.3;992;i
MG;aflcip992i;p0p100;1984;276943.19;992;i
MG;aflcip992i;p0p100;1985;242734.8;992;i
MG;aflcip992i;p0p100;1986;208541.59;992;i
MG;aflcip992i;p0p100;1987;298658.41;992;i
MG;aflcip992i;p0p100;1988;329708.81;992;i
MG;aflcip992i;p0p100;1989;350979.81;992;i
MG;aflcip992i;p0p100;1990;241034.3;992;i
MG;aflcip992i;p0p100;1991;237885.41;992;i
MG;aflcip992i;p0p100;1992;192195.09;992;i
MG;aflcip992i;p0p100;1993;171950.0;992;i
MG;aflcip992i;p0p100;1994;193085.3;992;i
MG;aflcip992i;p0p100;1995;197207.5;992;i
MG;aflcip992i;p0p100;1996;150177.7;992;i
MG;aflcip992i;p0p100;1997;115789.2;992;i
MG;aflcip992i;p0p100;1998;99024.297;992;i
MG;aflcip992i;p0p100;1999;62006.301;992;i
MG;aflcip992i;p0p100;2000;61360.699;992;i
MG;aflcip992i;p0p100;2001;89128.797;992;i
MG;aflcip992i;p0p100;2002;130224.6;992;i
MG;aflcip992i;p0p100;2003;59437.301;992;i
MG;aflcip992i;p0p100;2004;77705.297;992;i
MG;aflcip992i;p0p100;2005;101199.5;992;i
MG;aflcip992i;p0p100;2006;117090.9;992;i
MG;aflcip992i;p0p100;2007;69179.898;992;i
MG;aflcip992i;p0p100;2008;63040.801;992;i
