country;variable;percentile;year;value;age;pop
ML;aptinc992j;p27p100;1990;939701.19;992;j
ML;aptinc992j;p27p100;1991;1036431.1;992;j
ML;aptinc992j;p27p100;1992;984257.38;992;j
ML;aptinc992j;p27p100;1993;994490.19;992;j
ML;aptinc992j;p27p100;1994;991653.5;992;j
ML;aptinc992j;p27p100;1995;972084.13;992;j
ML;aptinc992j;p27p100;1996;1012664.5;992;j
ML;aptinc992j;p27p100;1997;1026740.9;992;j
ML;aptinc992j;p27p100;1998;1074366.3;992;j
ML;aptinc992j;p27p100;1999;1094190.6;992;j
ML;aptinc992j;p27p100;2000;1040298.1;992;j
ML;aptinc992j;p27p100;2001;1147219.8;992;j
ML;aptinc992j;p27p100;2002;1126129.6;992;j
ML;aptinc992j;p27p100;2003;1227083.4;992;j
ML;aptinc992j;p27p100;2004;1200521.4;992;j
ML;aptinc992j;p27p100;2005;1239778.1;992;j
ML;aptinc992j;p27p100;2006;1253891.3;992;j
ML;aptinc992j;p27p100;2007;1253575.3;992;j
ML;aptinc992j;p27p100;2008;1272162.1;992;j
ML;aptinc992j;p27p100;2009;1266551.8;992;j
ML;aptinc992j;p27p100;2010;1303127.8;992;j
ML;aptinc992j;p27p100;2011;1315392.3;992;j
ML;aptinc992j;p27p100;2012;1265591.1;992;j
ML;aptinc992j;p27p100;2013;1265647.9;992;j
ML;aptinc992j;p27p100;2014;1328022.6;992;j
ML;aptinc992j;p27p100;2015;1374280.9;992;j
ML;aptinc992j;p27p100;2016;1404107.4;992;j
ML;aptinc992j;p27p100;2017;1425264.1;992;j
ML;aptinc992j;p30p40;1990;184638.3;992;j
ML;aptinc992j;p30p40;1991;203644.41;992;j
ML;aptinc992j;p30p40;1992;193392.91;992;j
ML;aptinc992j;p30p40;1993;195403.5;992;j
ML;aptinc992j;p30p40;1994;194846.2;992;j
ML;aptinc992j;p30p40;1995;203387.3;992;j
ML;aptinc992j;p30p40;1996;224843.3;992;j
ML;aptinc992j;p30p40;1997;241175.7;992;j
ML;aptinc992j;p30p40;1998;266248.59;992;j
ML;aptinc992j;p30p40;1999;285371.59;992;j
ML;aptinc992j;p30p40;2000;284889.91;992;j
ML;aptinc992j;p30p40;2001;329212.09;992;j
ML;aptinc992j;p30p40;2002;326797.31;992;j
ML;aptinc992j;p30p40;2003;360061.41;992;j
ML;aptinc992j;p30p40;2004;356152.81;992;j
ML;aptinc992j;p30p40;2005;371817.0;992;j
ML;aptinc992j;p30p40;2006;380116.81;992;j
ML;aptinc992j;p30p40;2007;401082.81;992;j
ML;aptinc992j;p30p40;2008;428600.5;992;j
ML;aptinc992j;p30p40;2009;448385.09;992;j
ML;aptinc992j;p30p40;2010;461333.69;992;j
ML;aptinc992j;p30p40;2011;465675.59;992;j
ML;aptinc992j;p30p40;2012;448045.0;992;j
ML;aptinc992j;p30p40;2013;448065.09;992;j
ML;aptinc992j;p30p40;2014;470147.0;992;j
ML;aptinc992j;p30p40;2015;486523.41;992;j
ML;aptinc992j;p30p40;2016;497082.59;992;j
ML;aptinc992j;p30p40;2017;504572.5;992;j
ML;aptinc992j;p56p57;1990;322599.31;992;j
ML;aptinc992j;p56p57;1991;355806.59;992;j
ML;aptinc992j;p56p57;1992;337895.41;992;j
ML;aptinc992j;p56p57;1993;341408.31;992;j
ML;aptinc992j;p56p57;1994;340434.5;992;j
ML;aptinc992j;p56p57;1995;351239.0;992;j
ML;aptinc992j;p56p57;1996;384242.19;992;j
ML;aptinc992j;p56p57;1997;408267.09;992;j
