country;variable;percentile;year;value;age;pop
NAM;aptinc992j;p0p99;1990;70448.398;992;j
NAM;aptinc992j;p0p99;1991;75492.602;992;j
NAM;aptinc992j;p0p99;1992;76674.203;992;j
NAM;aptinc992j;p0p99;1993;74395.602;992;j
NAM;aptinc992j;p0p99;1994;74335.5;992;j
NAM;aptinc992j;p0p99;1995;76241.203;992;j
NAM;aptinc992j;p0p99;1996;75744.602;992;j
NAM;aptinc992j;p0p99;1997;76907.297;992;j
NAM;aptinc992j;p0p99;1998;77330.898;992;j
NAM;aptinc992j;p0p99;1999;74776.102;992;j
NAM;aptinc992j;p0p99;2000;74965.703;992;j
NAM;aptinc992j;p0p99;2001;72544.602;992;j
NAM;aptinc992j;p0p99;2002;77156.297;992;j
NAM;aptinc992j;p0p99;2003;80440.297;992;j
NAM;aptinc992j;p0p99;2004;85785.5;992;j
NAM;aptinc992j;p0p99;2005;83900.898;992;j
NAM;aptinc992j;p0p99;2006;88969.0;992;j
NAM;aptinc992j;p0p99;2007;91760.102;992;j
NAM;aptinc992j;p0p99;2008;91140.102;992;j
NAM;aptinc992j;p0p99;2009;89633.797;992;j
NAM;aptinc992j;p0p99;2010;92242.297;992;j
NAM;aptinc992j;p0p99;2011;97052.5;992;j
NAM;aptinc992j;p0p99;2012;97873.0;992;j
NAM;aptinc992j;p0p99;2013;106914.0;992;j
NAM;aptinc992j;p0p99;2014;111810.9;992;j
NAM;aptinc992j;p0p99;2015;117283.1;992;j
NAM;aptinc992j;p0p99;2016;113620.2;992;j
NAM;aptinc992j;p0p99;2017;110895.0;992;j
NAM;aptinc992j;p19p20;1990;9292.0996;992;j
NAM;aptinc992j;p19p20;1991;9957.5;992;j
NAM;aptinc992j;p19p20;1992;10113.3;992;j
NAM;aptinc992j;p19p20;1993;9812.7998;992;j
NAM;aptinc992j;p19p20;1994;9804.9004;992;j
NAM;aptinc992j;p19p20;1995;10056.2;992;j
NAM;aptinc992j;p19p20;1996;9990.7002;992;j
NAM;aptinc992j;p19p20;1997;10144.1;992;j
NAM;aptinc992j;p19p20;1998;10200.0;992;j
NAM;aptinc992j;p19p20;1999;9863.0;992;j
NAM;aptinc992j;p19p20;2000;9888.0;992;j
NAM;aptinc992j;p19p20;2001;9568.5996;992;j
NAM;aptinc992j;p19p20;2002;10176.9;992;j
NAM;aptinc992j;p19p20;2003;10610.1;992;j
NAM;aptinc992j;p19p20;2004;11476.8;992;j
NAM;aptinc992j;p19p20;2005;11381.8;992;j
NAM;aptinc992j;p19p20;2006;12236.1;992;j
NAM;aptinc992j;p19p20;2007;12790.2;992;j
NAM;aptinc992j;p19p20;2008;12873.0;992;j
NAM;aptinc992j;p19p20;2009;12827.0;992;j
NAM;aptinc992j;p19p20;2010;12992.4;992;j
NAM;aptinc992j;p19p20;2011;13455.0;992;j
NAM;aptinc992j;p19p20;2012;13357.2;992;j
NAM;aptinc992j;p19p20;2013;14365.4;992;j
NAM;aptinc992j;p19p20;2014;14791.3;992;j
NAM;aptinc992j;p19p20;2015;15276.6;992;j
NAM;aptinc992j;p19p20;2016;14799.5;992;j
NAM;aptinc992j;p19p20;2017;14444.5;992;j
NAM;aptinc992j;p20p21;1990;9652.0;992;j
NAM;aptinc992j;p20p21;1991;10343.1;992;j
NAM;aptinc992j;p20p21;1992;10505.0;992;j
NAM;aptinc992j;p20p21;1993;10192.8;992;j
NAM;aptinc992j;p20p21;1994;10184.6;992;j
NAM;aptinc992j;p20p21;1995;10445.7;992;j
NAM;aptinc992j;p20p21;1996;10377.6;992;j
NAM;aptinc992j;p20p21;1997;10536.9;992;j
NAM;aptinc992j;p20p21;1998;10595.0;992;j
NAM;aptinc992j;p20p21;1999;10244.9;992;j
NAM;aptinc992j;p20p21;2000;10270.9;992;j
NAM;aptinc992j;p20p21;2001;9939.2002;992;j
NAM;aptinc992j;p20p21;2002;10571.0;992;j
NAM;aptinc992j;p20p21;2003;11021.0;992;j
NAM;aptinc992j;p20p21;2004;11911.7;992;j
NAM;aptinc992j;p20p21;2005;11803.8;992;j
NAM;aptinc992j;p20p21;2006;12680.2;992;j
NAM;aptinc992j;p20p21;2007;13246.9;992;j
NAM;aptinc992j;p20p21;2008;13323.8;992;j
NAM;aptinc992j;p20p21;2009;13267.0;992;j
NAM;aptinc992j;p20p21;2010;13462.3;992;j
NAM;aptinc992j;p20p21;2011;13967.8;992;j
NAM;aptinc992j;p20p21;2012;13891.8;992;j
NAM;aptinc992j;p20p21;2013;14967.3;992;j
NAM;aptinc992j;p20p21;2014;15439.9;992;j
NAM;aptinc992j;p20p21;2015;15976.6;992;j
NAM;aptinc992j;p20p21;2016;15477.6;992;j
NAM;aptinc992j;p20p21;2017;15106.4;992;j
NAM;aptinc992j;p22p100;1990;120387.8;992;j
NAM;aptinc992j;p22p100;1991;129007.8;992;j
NAM;aptinc992j;p22p100;1992;131027.0;992;j
NAM;aptinc992j;p22p100;1993;127133.1;992;j
NAM;aptinc992j;p22p100;1994;127030.5;992;j
NAM;aptinc992j;p22p100;1995;130287.1;992;j
NAM;aptinc992j;p22p100;1996;129438.5;992;j
NAM;aptinc992j;p22p100;1997;131425.41;992;j
NAM;aptinc992j;p22p100;1998;132149.3;992;j
NAM;aptinc992j;p22p100;1999;127783.4;992;j
NAM;aptinc992j;p22p100;2000;128107.5;992;j
NAM;aptinc992j;p22p100;2001;123970.1;992;j
NAM;aptinc992j;p22p100;2002;131850.91;992;j
NAM;aptinc992j;p22p100;2003;137462.91;992;j
NAM;aptinc992j;p22p100;2004;146369.41;992;j
NAM;aptinc992j;p22p100;2005;142931.8;992;j
NAM;aptinc992j;p22p100;2006;151330.8;992;j
NAM;aptinc992j;p22p100;2007;155836.7;992;j
NAM;aptinc992j;p22p100;2008;154544.2;992;j
NAM;aptinc992j;p22p100;2009;151755.3;992;j
NAM;aptinc992j;p22p100;2010;154577.91;992;j
NAM;aptinc992j;p22p100;2011;160996.7;992;j
NAM;aptinc992j;p22p100;2012;160735.5;992;j
NAM;aptinc992j;p22p100;2013;173847.3;992;j
NAM;aptinc992j;p22p100;2014;180030.7;992;j
NAM;aptinc992j;p22p100;2015;187012.41;992;j
NAM;aptinc992j;p22p100;2016;181171.7;992;j
NAM;aptinc992j;p22p100;2017;176826.41;992;j
NAM;aptinc992j;p30p40;1990;14728.1;992;j
NAM;aptinc992j;p30p40;1991;15782.6;992;j
NAM;aptinc992j;p30p40;1992;16029.7;992;j
NAM;aptinc992j;p30p40;1993;15553.3;992;j
