country;variable;percentile;year;value;age;pop
NP;ahougo992i;p0p100;1983;340.10001;992;i
NP;ahougo992i;p0p100;1984;321.79999;992;i
NP;ahougo992i;p0p100;1985;215.0;992;i
NP;ahougo992i;p0p100;1986;213.8;992;i
NP;ahougo992i;p0p100;1987;276.20001;992;i
NP;ahougo992i;p0p100;1988;352.79999;992;i
NP;afdipx999i;p0p100;1976;0.0;999;i
NP;afdipx999i;p0p100;1977;0.0;999;i
NP;afdipx999i;p0p100;1978;0.0;999;i
NP;afdipx999i;p0p100;1979;0.0;999;i
NP;afdipx999i;p0p100;1980;0.0;999;i
NP;afdipx999i;p0p100;1981;0.0;999;i
NP;afdipx999i;p0p100;1982;0.0;999;i
NP;afdipx999i;p0p100;1983;0.0;999;i
NP;afdipx999i;p0p100;1984;0.0;999;i
NP;afdipx999i;p0p100;1985;0.0;999;i
NP;afdipx999i;p0p100;1986;0.0;999;i
NP;afdipx999i;p0p100;1987;0.0;999;i
NP;afdipx999i;p0p100;1988;0.0;999;i
NP;afdipx999i;p0p100;1989;0.0;999;i
NP;afdipx999i;p0p100;1990;0.0;999;i
NP;afdipx999i;p0p100;1991;0.0;999;i
NP;afdipx999i;p0p100;1992;0.0;999;i
NP;afdipx999i;p0p100;1993;0.0;999;i
NP;afdipx999i;p0p100;1994;0.0;999;i
NP;afdipx999i;p0p100;1999;0.0;999;i
NP;afdipx999i;p0p100;2000;0.0;999;i
NP;afdipx999i;p0p100;2002;488.70001;999;i
NP;afdipx999i;p0p100;2003;430.5;999;i
NP;afdipx999i;p0p100;2004;418.89999;999;i
NP;afdipx999i;p0p100;2005;475.70001;999;i
NP;afdipx999i;p0p100;2006;439.60001;999;i
NP;afdipx999i;p0p100;2007;361.20001;999;i
NP;afdipx999i;p0p100;2008;288.5;999;i
NP;afdipx999i;p0p100;2009;55.200001;999;i
NP;afdipx999i;p0p100;2010;251.10001;999;i
NP;afdipx999i;p0p100;2011;273.0;999;i
NP;afdipx999i;p0p100;2012;169.0;999;i
NP;afdipx999i;p0p100;2013;127.5;999;i
NP;afdipx999i;p0p100;2014;127.6;999;i
NP;afdipx999i;p0p100;2015;236.8;999;i
NP;afdipx999i;p0p100;2016;587.0;999;i
NP;afdipx999i;p0p100;2017;904.40002;999;i
NP;afdipx999i;p0p100;2018;1610.1;999;i
NP;aflcin999i;p0p100;1975;-226.7;999;i
NP;aflcin999i;p0p100;1976;153.5;999;i
NP;aflcin999i;p0p100;1977;240.5;999;i
NP;aflcin999i;p0p100;1978;150.10001;999;i
NP;aflcin999i;p0p100;1979;245.8;999;i
NP;aflcin999i;p0p100;1980;243.3;999;i
NP;aflcin999i;p0p100;1981;228.2;999;i
NP;aflcin999i;p0p100;1982;286.89999;999;i
NP;aflcin999i;p0p100;1983;114.4;999;i
NP;aflcin999i;p0p100;1984;19.700001;999;i
NP;aflcin999i;p0p100;1985;33.700001;999;i
NP;aflcin999i;p0p100;1986;57.299999;999;i
NP;aflcin999i;p0p100;1987;69.099998;999;i
NP;aflcin999i;p0p100;1988;94.800003;999;i
NP;aflcin999i;p0p100;1989;255.89999;999;i
NP;aflcin999i;p0p100;1990;302.39999;999;i
NP;aflcin999i;p0p100;1991;316.70001;999;i
NP;aflcin999i;p0p100;1992;382.5;999;i
NP;aflcin999i;p0p100;1993;252.60001;999;i
NP;aflcin999i;p0p100;1994;263.60001;999;i
NP;aflcin999i;p0p100;1995;331.39999;999;i
NP;aflcin999i;p0p100;1996;189.60001;999;i
NP;aflcin999i;p0p100;1997;221.60001;999;i
NP;aflcin999i;p0p100;1998;439.60001;999;i
NP;aflcin999i;p0p100;1999;517.5;999;i
NP;aflcin999i;p0p100;2000;587.59998;999;i
NP;aflcin999i;p0p100;2001;323.5;999;i
NP;aflcin999i;p0p100;2002;37.0;999;i
NP;aflcin999i;p0p100;2003;-24.5;999;i
NP;aflcin999i;p0p100;2004;44.099998;999;i
NP;aflcin999i;p0p100;2005;606.0;999;i
NP;aflcin999i;p0p100;2006;693.90002;999;i
NP;aflcin999i;p0p100;2007;1066.9;999;i
NP;aflcin999i;p0p100;2008;1165.9;999;i
NP;aflcin999i;p0p100;2009;1118.1;999;i
NP;aflcin999i;p0p100;2010;567.0;999;i
NP;aflcin999i;p0p100;2011;754.5;999;i
NP;aflcin999i;p0p100;2012;695.79999;999;i
NP;aflcin999i;p0p100;2013;1331.1;999;i
NP;aflcin999i;p0p100;2014;1730.1;999;i
NP;aflcin999i;p0p100;2015;1785.5;999;i
NP;aflcin999i;p0p100;2016;1485.8;999;i
NP;aflcin999i;p0p100;2017;1261.0;999;i
NP;aflcin999i;p0p100;2018;927.5;999;i
NP;mftaxx999i;p0p100;1975;0.0;999;i
NP;mftaxx999i;p0p100;1976;0.0;999;i
NP;mftaxx999i;p0p100;1977;0.0;999;i
NP;mftaxx999i;p0p100;1978;0.0;999;i
NP;mftaxx999i;p0p100;1979;0.0;999;i
NP;mftaxx999i;p0p100;1980;0.0;999;i
NP;mftaxx999i;p0p100;1981;0.0;999;i
NP;mftaxx999i;p0p100;1982;0.0;999;i
NP;mftaxx999i;p0p100;1983;0.0;999;i
NP;mftaxx999i;p0p100;1984;0.0;999;i
NP;mftaxx999i;p0p100;1985;0.0;999;i
NP;mftaxx999i;p0p100;1986;0.0;999;i
NP;mftaxx999i;p0p100;1987;0.0;999;i
NP;mftaxx999i;p0p100;1988;0.0;999;i
NP;mftaxx999i;p0p100;1989;0.0;999;i
NP;mftaxx999i;p0p100;1990;0.0;999;i
NP;mftaxx999i;p0p100;1991;0.0;999;i
NP;mftaxx999i;p0p100;1992;0.0;999;i
NP;mftaxx999i;p0p100;1993;0.0;999;i
NP;mftaxx999i;p0p100;1994;0.0;999;i
NP;mftaxx999i;p0p100;1995;0.0;999;i
NP;mftaxx999i;p0p100;1996;0.0;999;i
NP;mftaxx999i;p0p100;1997;0.0;999;i
NP;mftaxx999i;p0p100;1998;0.0;999;i
NP;mftaxx999i;p0p100;1999;0.0;999;i
NP;mftaxx999i;p0p100;2000;0.0;999;i
NP;mftaxx999i;p0p100;2001;0.0;999;i
NP;mftaxx999i;p0p100;2002;0.0;999;i
NP;mftaxx999i;p0p100;2003;0.0;999;i
NP;mftaxx999i;p0p100;2004;0.0;999;i
NP;mftaxx999i;p0p100;2005;0.0;999;i
NP;mftaxx999i;p0p100;2006;0.0;999;i
NP;mftaxx999i;p0p100;2007;0.0;999;i
NP;mftaxx999i;p0p100;2008;0.0;999;i
NP;mftaxx999i;p0p100;2009;0.0;999;i
NP;mftaxx999i;p0p100;2010;0.0;999;i
NP;mftaxx999i;p0p100;2011;0.0;999;i
NP;mftaxx999i;p0p100;2012;0.0;999;i
NP;mftaxx999i;p0p100;2013;0.0;999;i
NP;mftaxx999i;p0p100;2014;0.0;999;i
NP;mftaxx999i;p0p100;2015;0.0;999;i
NP;mftaxx999i;p0p100;2016;0.0;999;i
NP;mftaxx999i;p0p100;2017;0.0;999;i
NP;mftaxx999i;p0p100;2018;0.0;999;i
NP;npopul451i;p0p100;1950;370902.0;451;i
NP;npopul451i;p0p100;1951;380244.0;451;i
NP;npopul451i;p0p100;1952;387152.0;451;i
