country;variable;percentile;year;value;age;pop
PE;accshn992i;p0p100;2007;177.8;992;i
PE;accshn992i;p0p100;2008;178.8;992;i
PE;accshn992i;p0p100;2009;190.60001;992;i
PE;accshn992i;p0p100;2010;198.60001;992;i
PE;accshn992i;p0p100;2011;193.5;992;i
PE;accshn992i;p0p100;2012;203.39999;992;i
PE;accshn992i;p0p100;2013;208.8;992;i
PE;accshn992i;p0p100;2014;214.5;992;i
PE;accshn992i;p0p100;2015;215.39999;992;i
PE;accshn992i;p0p100;2016;217.39999;992;i
PE;accshn992i;p0p100;2017;220.3;992;i
PE;afptax999i;p0p100;2007;0.0;999;i
PE;afptax999i;p0p100;2008;0.0;999;i
PE;afptax999i;p0p100;2009;0.0;999;i
PE;afptax999i;p0p100;2010;0.0;999;i
PE;afptax999i;p0p100;2011;0.0;999;i
PE;afptax999i;p0p100;2012;0.0;999;i
PE;afptax999i;p0p100;2013;0.0;999;i
PE;afptax999i;p0p100;2014;0.0;999;i
PE;aindgo992i;p0p100;2007;1107.1;992;i
PE;aindgo992i;p0p100;2008;1159.1;992;i
PE;aindgo992i;p0p100;2009;1231.1;992;i
PE;aindgo992i;p0p100;2010;1177.2;992;i
PE;aindgo992i;p0p100;2011;1222.3;992;i
PE;aindgo992i;p0p100;2012;1326.8;992;i
PE;aindgo992i;p0p100;2013;1473.2;992;i
PE;aindgo992i;p0p100;2014;1597.7;992;i
PE;aindgo992i;p0p100;2015;1737.6;992;i
PE;aindgo992i;p0p100;2016;1819.4;992;i
PE;aindgo992i;p0p100;2017;1870.0;992;i
PE;andpro999i;p0p100;1950;6988.7998;999;i
PE;andpro999i;p0p100;1951;7350.8999;999;i
PE;andpro999i;p0p100;1952;7527.7002;999;i
PE;andpro999i;p0p100;1953;7800.2002;999;i
PE;andpro999i;p0p100;1954;7793.8999;999;i
PE;andpro999i;p0p100;1955;8166.7002;999;i
PE;andpro999i;p0p100;1956;8310.2002;999;i
PE;andpro999i;p0p100;1957;8487.0;999;i
PE;andpro999i;p0p100;1958;8259.5;999;i
