country;variable;percentile;year;value;age;pop
QF-MER;npopul801i;p0p100;1950;84996.0;801;i
QF-MER;npopul801i;p0p100;1951;88007.0;801;i
QF-MER;npopul801i;p0p100;1952;90984.0;801;i
QF-MER;npopul801i;p0p100;1953;94296.0;801;i
QF-MER;npopul801i;p0p100;1954;97839.0;801;i
QF-MER;npopul801i;p0p100;1955;101153.0;801;i
QF-MER;npopul801i;p0p100;1956;104993.0;801;i
QF-MER;npopul801i;p0p100;1957;108273.0;801;i
QF-MER;npopul801i;p0p100;1958;111892.0;801;i
QF-MER;npopul801i;p0p100;1959;116030.0;801;i
QF-MER;npopul801i;p0p100;1960;120143.0;801;i
QF-MER;npopul801i;p0p100;1961;124500.0;801;i
QF-MER;npopul801i;p0p100;1962;127604.0;801;i
QF-MER;npopul801i;p0p100;1963;130661.0;801;i
QF-MER;npopul801i;p0p100;1964;134315.0;801;i
QF-MER;npopul801i;p0p100;1965;138042.0;801;i
QF-MER;npopul801i;p0p100;1966;142547.0;801;i
QF-MER;npopul801i;p0p100;1967;145888.0;801;i
QF-MER;npopul801i;p0p100;1968;147979.0;801;i
QF-MER;npopul801i;p0p100;1969;149183.0;801;i
QF-MER;npopul801i;p0p100;1970;149397.0;801;i
QF-MER;npopul801i;p0p100;1971;156581.0;801;i
QF-MER;npopul801i;p0p100;1972;160576.0;801;i
QF-MER;npopul801i;p0p100;1973;165472.0;801;i
QF-MER;npopul801i;p0p100;1974;171268.0;801;i
QF-MER;npopul801i;p0p100;1975;176134.0;801;i
QF-MER;npopul801i;p0p100;1976;180165.0;801;i
QF-MER;npopul801i;p0p100;1977;182797.0;801;i
QF-MER;npopul801i;p0p100;1978;185658.0;801;i
QF-MER;npopul801i;p0p100;1979;189514.0;801;i
QF-MER;npopul801i;p0p100;1980;194696.0;801;i
QF-MER;npopul801i;p0p100;1981;201444.0;801;i
QF-MER;npopul801i;p0p100;1982;208431.0;801;i
QF-MER;npopul801i;p0p100;1983;215225.0;801;i
QF-MER;npopul801i;p0p100;1984;222558.0;801;i
QF-MER;npopul801i;p0p100;1985;230943.0;801;i
QF-MER;npopul801i;p0p100;1986;240340.0;801;i
QF-MER;npopul801i;p0p100;1987;249836.0;801;i
QF-MER;npopul801i;p0p100;1988;260620.0;801;i
QF-MER;npopul801i;p0p100;1989;273223.0;801;i
QF-MER;npopul801i;p0p100;1990;286889.0;801;i
QF-MER;npopul801i;p0p100;1991;301691.0;801;i
QF-MER;npopul801i;p0p100;1992;317218.0;801;i
QF-MER;npopul801i;p0p100;1993;332239.0;801;i
QF-MER;npopul801i;p0p100;1994;345616.0;801;i
QF-MER;npopul801i;p0p100;1995;356459.0;801;i
QF-MER;npopul801i;p0p100;1996;362636.0;801;i
QF-MER;npopul801i;p0p100;1997;364638.0;801;i
QF-MER;npopul801i;p0p100;1998;366053.0;801;i
QF-MER;npopul801i;p0p100;1999;372362.0;801;i
QF-MER;npopul801i;p0p100;2000;386243.0;801;i
QF-MER;npopul801i;p0p100;2001;406643.0;801;i
QF-MER;npopul801i;p0p100;2002;432188.0;801;i
QF-MER;npopul801i;p0p100;2003;460343.0;801;i
QF-MER;npopul801i;p0p100;2004;486292.0;801;i
QF-MER;npopul801i;p0p100;2005;508569.0;801;i
QF-MER;npopul801i;p0p100;2006;521009.0;801;i
QF-MER;npopul801i;p0p100;2007;532845.0;801;i
QF-MER;npopul801i;p0p100;2008;545003.0;801;i
QF-MER;npopul801i;p0p100;2009;557275.0;801;i
QF-MER;npopul801i;p0p100;2010;566116.0;801;i
QF-MER;npopul801i;p0p100;2011;566890.0;801;i
QF-MER;npopul801i;p0p100;2012;567579.0;801;i
QF-MER;npopul801i;p0p100;2013;571044.0;801;i
QF-MER;npopul801i;p0p100;2014;579722.0;801;i
QF-MER;npopul801i;p0p100;2015;593220.0;801;i
QF-MER;npopul801i;p0p100;2016;601775.0;801;i
QF-MER;npopul801i;p0p100;2017;612642.0;801;i
QF-MER;npopul801i;p0p100;2018;626993.0;801;i
QF-MER;npopul801i;p0p100;2019;645921.0;801;i
QF-MER;npopul993m;p0p100;1950;2035467.0;993;m
QF-MER;npopul993m;p0p100;1951;2063909.0;993;m
QF-MER;npopul993m;p0p100;1952;2087641.0;993;m
QF-MER;npopul993m;p0p100;1953;2106725.0;993;m
QF-MER;npopul993m;p0p100;1954;2124579.0;993;m
QF-MER;npopul993m;p0p100;1955;2144666.0;993;m
QF-MER;npopul993m;p0p100;1956;2165171.0;993;m
QF-MER;npopul993m;p0p100;1957;2188835.0;993;m
QF-MER;npopul993m;p0p100;1958;2215876.0;993;m
QF-MER;npopul993m;p0p100;1959;2244633.0;993;m
QF-MER;npopul993m;p0p100;1960;2273197.0;993;m
QF-MER;npopul993m;p0p100;1961;2300595.0;993;m
QF-MER;npopul993m;p0p100;1962;2324435.0;993;m
QF-MER;npopul993m;p0p100;1963;2351435.0;993;m
QF-MER;npopul993m;p0p100;1964;2387455.0;993;m
QF-MER;npopul993m;p0p100;1965;2430305.0;993;m
