country;variable;percentile;year;value;age;pop
QP;aptinc992j;p23p100;1980;37911.5;992;j
QP;aptinc992j;p23p100;1981;38259.0;992;j
QP;aptinc992j;p23p100;1982;37002.199;992;j
QP;aptinc992j;p23p100;1983;37696.801;992;j
QP;aptinc992j;p23p100;1984;40148.5;992;j
QP;aptinc992j;p23p100;1985;40925.898;992;j
QP;aptinc992j;p23p100;1986;41408.898;992;j
QP;aptinc992j;p23p100;1987;42778.0;992;j
QP;aptinc992j;p23p100;1988;44587.398;992;j
QP;aptinc992j;p23p100;1989;45125.301;992;j
QP;aptinc992j;p23p100;1990;45073.602;992;j
QP;aptinc992j;p23p100;1991;44170.102;992;j
QP;aptinc992j;p23p100;1992;45046.102;992;j
QP;aptinc992j;p23p100;1993;45534.898;992;j
QP;aptinc992j;p23p100;1994;47075.301;992;j
QP;aptinc992j;p23p100;1995;48231.5;992;j
QP;aptinc992j;p23p100;1996;49687.0;992;j
QP;aptinc992j;p23p100;1997;51520.301;992;j
QP;aptinc992j;p23p100;1998;53412.801;992;j
QP;aptinc992j;p23p100;1999;55113.699;992;j
QP;aptinc992j;p23p100;2000;56988.0;992;j
QP;aptinc992j;p23p100;2001;56580.699;992;j
QP;aptinc992j;p23p100;2002;56560.0;992;j
QP;aptinc992j;p23p100;2003;57275.0;992;j
QP;aptinc992j;p23p100;2004;59014.602;992;j
QP;aptinc992j;p23p100;2005;60493.301;992;j
QP;aptinc992j;p23p100;2006;62072.102;992;j
QP;aptinc992j;p23p100;2007;61454.102;992;j
QP;aptinc992j;p23p100;2008;59890.801;992;j
QP;aptinc992j;p23p100;2009;56931.801;992;j
QP;aptinc992j;p23p100;2010;58401.801;992;j
QP;aptinc992j;p23p100;2011;59396.801;992;j
QP;aptinc992j;p23p100;2012;60750.699;992;j
QP;aptinc992j;p23p100;2013;60865.898;992;j
QP;aptinc992j;p23p100;2014;62167.398;992;j
QP;aptinc992j;p23p100;2015;62731.199;992;j
QP;aptinc992j;p23p100;2016;63524.699;992;j
QP;aptinc992j;p24p100;1980;38259.301;992;j
QP;aptinc992j;p24p100;1981;38613.5;992;j
QP;aptinc992j;p24p100;1982;37348.102;992;j
QP;aptinc992j;p24p100;1983;38056.898;992;j
QP;aptinc992j;p24p100;1984;40536.199;992;j
QP;aptinc992j;p24p100;1985;41321.199;992;j
QP;aptinc992j;p24p100;1986;41812.898;992;j
QP;aptinc992j;p24p100;1987;43198.699;992;j
QP;aptinc992j;p24p100;1988;45030.0;992;j
QP;aptinc992j;p24p100;1989;45572.602;992;j
QP;aptinc992j;p24p100;1990;45522.102;992;j
