country;variable;percentile;year;value;age;pop
SD;apinrx999i;p0p100;1970;19.1;999;i
SD;apinrx999i;p0p100;1971;17.799999;999;i
SD;apinrx999i;p0p100;1972;13.2;999;i
SD;apinrx999i;p0p100;1973;16.700001;999;i
SD;apinrx999i;p0p100;1974;26.700001;999;i
SD;apinrx999i;p0p100;1975;59.0;999;i
SD;apinrx999i;p0p100;1976;27.700001;999;i
SD;apinrx999i;p0p100;1977;30.0;999;i
SD;apinrx999i;p0p100;1978;58.700001;999;i
SD;apinrx999i;p0p100;1979;18.799999;999;i
SD;apinrx999i;p0p100;1980;129.7;999;i
SD;apinrx999i;p0p100;1981;107.1;999;i
SD;apinrx999i;p0p100;1982;144.89999;999;i
SD;apinrx999i;p0p100;1983;93.800003;999;i
SD;apinrx999i;p0p100;1984;26.5;999;i
SD;apinrx999i;p0p100;1985;33.200001;999;i
SD;apinrx999i;p0p100;1986;25.9;999;i
SD;apinrx999i;p0p100;1987;27.5;999;i
SD;apinrx999i;p0p100;1988;32.400002;999;i
SD;apinrx999i;p0p100;1989;41.099998;999;i
SD;apinrx999i;p0p100;1990;43.900002;999;i
SD;apinrx999i;p0p100;1991;44.099998;999;i
SD;apinrx999i;p0p100;1992;40.799999;999;i
SD;apinrx999i;p0p100;1993;47.299999;999;i
SD;apinrx999i;p0p100;1994;66.199997;999;i
SD;apinrx999i;p0p100;1995;68.699997;999;i
SD;apinrx999i;p0p100;1996;93.0;999;i
SD;apinrx999i;p0p100;1997;107.3;999;i
SD;apinrx999i;p0p100;1998;106.0;999;i
SD;apinrx999i;p0p100;1999;120.2;999;i
SD;apinrx999i;p0p100;2000;68.699997;999;i
SD;apinrx999i;p0p100;2001;76.400002;999;i
SD;apinrx999i;p0p100;2002;82.400002;999;i
SD;apinrx999i;p0p100;2003;56.700001;999;i
SD;apinrx999i;p0p100;2004;63.700001;999;i
SD;apinrx999i;p0p100;2005;75.699997;999;i
SD;apinrx999i;p0p100;2006;101.9;999;i
SD;apinrx999i;p0p100;2007;123.1;999;i
SD;apinrx999i;p0p100;2008;120.5;999;i
SD;apinrx999i;p0p100;2009;58.200001;999;i
SD;apinrx999i;p0p100;2010;54.0;999;i
SD;apinrx999i;p0p100;2011;39.700001;999;i
SD;apinrx999i;p0p100;2012;41.799999;999;i
SD;apinrx999i;p0p100;2013;48.5;999;i
SD;apinrx999i;p0p100;2014;40.299999;999;i
SD;apinrx999i;p0p100;2015;37.099998;999;i
SD;apinrx999i;p0p100;2016;26.1;999;i
SD;apinrx999i;p0p100;2017;19.299999;999;i
SD;apinrx999i;p0p100;2018;41.900002;999;i
SD;aptinc992j;p43p44;1990;16548.6;992;j
SD;aptinc992j;p43p44;1991;17406.199;992;j
SD;aptinc992j;p43p44;1992;18187.1;992;j
SD;aptinc992j;p43p44;1993;18424.9;992;j
SD;aptinc992j;p43p44;1994;18208.699;992;j
SD;aptinc992j;p43p44;1995;18900.5;992;j
SD;aptinc992j;p43p44;1996;18828.699;992;j
SD;aptinc992j;p43p44;1997;20541.801;992;j
SD;aptinc992j;p43p44;1998;20719.199;992;j
SD;aptinc992j;p43p44;1999;20664.6;992;j
