country;variable;percentile;year;value;age;pop
SG;aftaxx992i;p0p100;1972;0.0;992;i
SG;aftaxx992i;p0p100;1973;0.0;992;i
SG;aftaxx992i;p0p100;1974;0.0;992;i
SG;aftaxx992i;p0p100;1975;0.0;992;i
SG;aftaxx992i;p0p100;1976;0.0;992;i
SG;aftaxx992i;p0p100;1977;0.0;992;i
SG;aftaxx992i;p0p100;1978;0.0;992;i
SG;aftaxx992i;p0p100;1979;0.0;992;i
SG;aftaxx992i;p0p100;1980;0.0;992;i
SG;aftaxx992i;p0p100;1981;0.0;992;i
SG;aftaxx992i;p0p100;1982;0.0;992;i
SG;aftaxx992i;p0p100;1983;0.0;992;i
SG;aftaxx992i;p0p100;1984;0.0;992;i
SG;aftaxx992i;p0p100;1985;0.0;992;i
SG;aftaxx992i;p0p100;1986;0.0;992;i
SG;aftaxx992i;p0p100;1987;0.0;992;i
SG;aftaxx992i;p0p100;1988;0.0;992;i
SG;aftaxx992i;p0p100;1989;0.0;992;i
SG;aftaxx992i;p0p100;1990;0.0;992;i
SG;aftaxx992i;p0p100;1991;0.0;992;i
SG;aftaxx992i;p0p100;1992;0.0;992;i
SG;aftaxx992i;p0p100;1993;0.0;992;i
SG;aftaxx992i;p0p100;1994;0.0;992;i
SG;aftaxx992i;p0p100;1995;0.0;992;i
SG;aftaxx992i;p0p100;1996;0.0;992;i
SG;aftaxx992i;p0p100;1997;0.0;992;i
SG;aftaxx992i;p0p100;1998;0.0;992;i
SG;aftaxx992i;p0p100;1999;0.0;992;i
SG;aftaxx992i;p0p100;2000;0.0;992;i
SG;aftaxx992i;p0p100;2001;0.0;992;i
SG;aftaxx992i;p0p100;2002;0.0;992;i
SG;aftaxx992i;p0p100;2003;0.0;992;i
SG;aftaxx992i;p0p100;2004;0.0;992;i
SG;aftaxx992i;p0p100;2005;0.0;992;i
SG;aftaxx992i;p0p100;2006;0.0;992;i
SG;aftaxx992i;p0p100;2007;0.0;992;i
SG;aftaxx992i;p0p100;2008;0.0;992;i
SG;aftaxx992i;p0p100;2009;0.0;992;i
SG;aftaxx992i;p0p100;2010;0.0;992;i
SG;aftaxx992i;p0p100;2011;0.0;992;i
SG;aftaxx992i;p0p100;2012;0.0;992;i
