country;variable;percentile;year;value;age;pop
SN;aflcir999i;p0p100;1974;3784.5;999;i
SN;aflcir999i;p0p100;1975;2950.0;999;i
SN;aflcir999i;p0p100;1976;3197.7;999;i
SN;aflcir999i;p0p100;1977;3640.8999;999;i
SN;aflcir999i;p0p100;1978;3630.6001;999;i
SN;aflcir999i;p0p100;1979;3973.8999;999;i
SN;aflcir999i;p0p100;1980;4608.1001;999;i
SN;aflcir999i;p0p100;1981;6078.8999;999;i
SN;aflcir999i;p0p100;1982;6115.2002;999;i
SN;aflcir999i;p0p100;1983;5828.1001;999;i
SN;aflcir999i;p0p100;1984;3899.8999;999;i
SN;aflcir999i;p0p100;1985;6735.6001;999;i
SN;aflcir999i;p0p100;1986;7831.0;999;i
SN;aflcir999i;p0p100;1987;8250.0;999;i
SN;aflcir999i;p0p100;1988;7503.3999;999;i
SN;aflcir999i;p0p100;1989;10430.5;999;i
SN;aflcir999i;p0p100;1990;10720.6;999;i
SN;aflcir999i;p0p100;1991;11976.6;999;i
SN;aflcir999i;p0p100;1992;11707.7;999;i
SN;aflcir999i;p0p100;1993;12635.3;999;i
SN;aflcir999i;p0p100;1994;19313.699;999;i
SN;aflcir999i;p0p100;1995;18957.0;999;i
SN;aflcir999i;p0p100;1996;15193.5;999;i
SN;aflcir999i;p0p100;1997;16948.9;999;i
SN;aflcir999i;p0p100;1998;17656.5;999;i
SN;aflcir999i;p0p100;1999;17889.9;999;i
SN;aflcir999i;p0p100;2000;19733.699;999;i
SN;aflcir999i;p0p100;2001;19152.301;999;i
SN;aflcir999i;p0p100;2002;17002.5;999;i
SN;aflcir999i;p0p100;2003;17657.1;999;i
SN;aflcir999i;p0p100;2004;18880.5;999;i
SN;aflcir999i;p0p100;2005;22674.5;999;i
SN;aflcir999i;p0p100;2006;19809.4;999;i
SN;aflcir999i;p0p100;2007;18890.1;999;i
SN;aflcir999i;p0p100;2008;20438.5;999;i
SN;aflcir999i;p0p100;2009;14696.8;999;i
SN;aflcir999i;p0p100;2010;16078.2;999;i
SN;aflcir999i;p0p100;2011;16326.3;999;i
SN;aflcir999i;p0p100;2012;14814.1;999;i
SN;aflcir999i;p0p100;2013;17426.4;999;i
SN;aflcir999i;p0p100;2014;18068.6;999;i
SN;aflcir999i;p0p100;2015;20205.199;999;i
SN;aflcir999i;p0p100;2016;18827.6;999;i
SN;aflcir999i;p0p100;2017;18830.199;999;i
SN;aflcir999i;p0p100;2018;20612.301;999;i
SN;agsrco992i;p0p100;1996;299161.59;992;i
SN;agsrco992i;p0p100;1997;215412.2;992;i
SN;agsrco992i;p0p100;1998;230920.59;992;i
SN;agsrco992i;p0p100;1999;228617.0;992;i
SN;agsrco992i;p0p100;2000;225517.8;992;i
SN;agsrco992i;p0p100;2001;237497.5;992;i
SN;agsrco992i;p0p100;2002;242804.3;992;i
SN;agsrco992i;p0p100;2003;262191.81;992;i
SN;agsrco992i;p0p100;2004;267033.09;992;i
SN;agsrco992i;p0p100;2005;257295.5;992;i
SN;agsrco992i;p0p100;2006;257868.91;992;i
SN;agsrco992i;p0p100;2014;340859.59;992;i
SN;agsrco992i;p0p100;2015;332127.09;992;i
SN;agsrco992i;p0p100;2016;359344.81;992;i
SN;agsrco992i;p0p100;2017;369335.5;992;i
SN;agsrnp999i;p0p100;1996;0.0;999;i
SN;agsrnp999i;p0p100;1997;0.0;999;i
SN;agsrnp999i;p0p100;1998;0.0;999;i
SN;agsrnp999i;p0p100;1999;0.0;999;i
SN;agsrnp999i;p0p100;2000;0.0;999;i
SN;agsrnp999i;p0p100;2001;0.0;999;i
SN;agsrnp999i;p0p100;2002;0.0;999;i
SN;agsrnp999i;p0p100;2003;0.0;999;i
SN;agsrnp999i;p0p100;2004;0.0;999;i
SN;agsrnp999i;p0p100;2005;34.400002;999;i
SN;agsrnp999i;p0p100;2006;88.5;999;i
SN;agsrnp999i;p0p100;2014;270.20001;999;i
SN;agsrnp999i;p0p100;2015;149.89999;999;i
SN;agsrnp999i;p0p100;2016;181.60001;999;i
SN;agsrnp999i;p0p100;2017;403.89999;999;i
SN;aptfrx999i;p0p100;1974;3242.7;999;i
SN;aptfrx999i;p0p100;1975;2523.5;999;i
SN;aptfrx999i;p0p100;1976;2753.6001;999;i
SN;aptfrx999i;p0p100;1977;2996.1001;999;i
SN;aptfrx999i;p0p100;1978;2761.8999;999;i
SN;aptfrx999i;p0p100;1979;3107.5;999;i
SN;aptfrx999i;p0p100;1980;4010.8;999;i
SN;aptfrx999i;p0p100;1981;3065.5;999;i
SN;aptfrx999i;p0p100;1982;2995.7;999;i
SN;aptfrx999i;p0p100;1983;2481.3999;999;i
SN;aptfrx999i;p0p100;1984;1715.2;999;i
SN;aptfrx999i;p0p100;1985;1643.7;999;i
SN;aptfrx999i;p0p100;1986;2349.8;999;i
SN;aptfrx999i;p0p100;1987;3186.6001;999;i
SN;aptfrx999i;p0p100;1988;3185.3;999;i
SN;aptfrx999i;p0p100;1989;5157.5;999;i
SN;aptfrx999i;p0p100;1990;4629.8999;999;i
SN;aptfrx999i;p0p100;1991;5588.7998;999;i
SN;aptfrx999i;p0p100;1992;5312.2002;999;i
SN;aptfrx999i;p0p100;1993;6667.1001;999;i
SN;aptfrx999i;p0p100;1994;14526.1;999;i
SN;aptfrx999i;p0p100;1995;12803.6;999;i
SN;aptfrx999i;p0p100;1996;9604.4004;999;i
SN;aptfrx999i;p0p100;1997;11354.2;999;i
SN;aptfrx999i;p0p100;1998;12202.7;999;i
SN;aptfrx999i;p0p100;1999;12634.1;999;i
SN;aptfrx999i;p0p100;2000;13036.4;999;i
SN;aptfrx999i;p0p100;2001;13926.3;999;i
SN;aptfrx999i;p0p100;2002;12332.0;999;i
SN;aptfrx999i;p0p100;2003;10428.5;999;i
SN;aptfrx999i;p0p100;2004;10100.2;999;i
SN;aptfrx999i;p0p100;2005;11509.5;999;i
SN;aptfrx999i;p0p100;2006;11537.0;999;i
SN;aptfrx999i;p0p100;2007;10830.2;999;i
SN;aptfrx999i;p0p100;2008;9978.0996;999;i
SN;aptfrx999i;p0p100;2009;8384.2998;999;i
SN;aptfrx999i;p0p100;2010;8683.7998;999;i
SN;aptfrx999i;p0p100;2011;7743.7002;999;i
SN;aptfrx999i;p0p100;2012;6933.2002;999;i
SN;aptfrx999i;p0p100;2013;8294.7998;999;i
SN;aptfrx999i;p0p100;2014;8786.2998;999;i
SN;aptfrx999i;p0p100;2015;9899.0996;999;i
SN;aptfrx999i;p0p100;2016;8356.7998;999;i
SN;aptfrx999i;p0p100;2017;8885.0;999;i
SN;aptfrx999i;p0p100;2018;8848.7998;999;i
SN;aptinc992j;p14p100;1990;1469812.9;992;j
SN;aptinc992j;p14p100;1991;1466641.1;992;j
SN;aptinc992j;p14p100;1992;1432379.3;992;j
SN;aptinc992j;p14p100;1993;1397785.6;992;j
SN;aptinc992j;p14p100;1994;1344694.8;992;j
SN;aptinc992j;p14p100;1995;1366372.3;992;j
SN;aptinc992j;p14p100;1996;1356972.3;992;j
SN;aptinc992j;p14p100;1997;1348870.8;992;j
SN;aptinc992j;p14p100;1998;1382669.0;992;j
SN;aptinc992j;p14p100;1999;1428681.0;992;j
SN;aptinc992j;p14p100;2000;1423303.8;992;j
