country;variable;percentile;year;value;age;pop
SO;aptinc992j;p33p34;1990;5808559.0;992;j
SO;aptinc992j;p33p34;1991;5678255.0;992;j
SO;aptinc992j;p33p34;1992;4935231.5;992;j
SO;aptinc992j;p33p34;1993;5007834.5;992;j
SO;aptinc992j;p33p34;1994;3943542.0;992;j
SO;aptinc992j;p33p34;1995;3862696.5;992;j
SO;aptinc992j;p33p34;1996;4190662.3;992;j
SO;aptinc992j;p33p34;1997;4174959.0;992;j
SO;aptinc992j;p33p34;1998;4377675.5;992;j
SO;aptinc992j;p33p34;1999;4616282.5;992;j
SO;aptinc992j;p33p34;2000;4581763.0;992;j
SO;aptinc992j;p33p34;2001;4568771.0;992;j
SO;aptinc992j;p33p34;2002;4617663.5;992;j
SO;aptinc992j;p33p34;2003;4639654.5;992;j
SO;aptinc992j;p33p34;2004;4637882.0;992;j
SO;aptinc992j;p33p34;2005;4759004.0;992;j
SO;aptinc992j;p33p34;2006;4716411.5;992;j
SO;aptinc992j;p33p34;2007;4682851.0;992;j
SO;aptinc992j;p33p34;2008;4659800.5;992;j
SO;aptinc992j;p33p34;2009;4621198.5;992;j
SO;aptinc992j;p33p34;2010;4586098.0;992;j
SO;aptinc992j;p33p34;2011;4540798.5;992;j
SO;aptinc992j;p33p34;2012;4473077.0;992;j
SO;aptinc992j;p33p34;2013;4374284.5;992;j
SO;aptinc992j;p33p34;2014;4711719.0;992;j
SO;aptinc992j;p33p34;2015;5376663.0;992;j
SO;aptinc992j;p33p34;2016;5709712.5;992;j
SO;aptinc992j;p33p34;2017;5816890.0;992;j
SO;aptinc992j;p83p84;1990;21031094.0;992;j
SO;aptinc992j;p83p84;1991;20600772.0;992;j
SO;aptinc992j;p83p84;1992;17845964.0;992;j
SO;aptinc992j;p83p84;1993;18016864.0;992;j
SO;aptinc992j;p83p84;1994;14142943.0;992;j
SO;aptinc992j;p83p84;1995;13962630.0;992;j
SO;aptinc992j;p83p84;1996;14633824.0;992;j
SO;aptinc992j;p83p84;1997;14141139.0;992;j
SO;aptinc992j;p83p84;1998;14413972.0;992;j
SO;aptinc992j;p83p84;1999;14770769.0;992;j
SO;aptinc992j;p83p84;2000;14709482.0;992;j
SO;aptinc992j;p83p84;2001;14710199.0;992;j
SO;aptinc992j;p83p84;2002;14779837.0;992;j
SO;aptinc992j;p83p84;2003;14891131.0;992;j
SO;aptinc992j;p83p84;2004;14926201.0;992;j
SO;aptinc992j;p83p84;2005;15032132.0;992;j
SO;aptinc992j;p83p84;2006;15046246.0;992;j
SO;aptinc992j;p83p84;2007;15094030.0;992;j
SO;aptinc992j;p83p84;2008;15135370.0;992;j
SO;aptinc992j;p83p84;2009;15138250.0;992;j
SO;aptinc992j;p83p84;2010;15165746.0;992;j
SO;aptinc992j;p83p84;2011;15260327.0;992;j
SO;aptinc992j;p83p84;2012;15313398.0;992;j
SO;aptinc992j;p83p84;2013;15251571.0;992;j
SO;aptinc992j;p83p84;2014;16742737.0;992;j
SO;aptinc992j;p83p84;2015;19460016.0;992;j
SO;aptinc992j;p83p84;2016;20680826.0;992;j
SO;aptinc992j;p83p84;2017;21066440.0;992;j
SO;aptinc992j;p99.6p99.7;1990;321712160.0;992;j
SO;aptinc992j;p99.6p99.7;1991;322924512.0;992;j
SO;aptinc992j;p99.6p99.7;1992;286509472.0;992;j
SO;aptinc992j;p99.6p99.7;1993;284893600.0;992;j
SO;aptinc992j;p99.6p99.7;1994;219038256.0;992;j
SO;aptinc992j;p99.6p99.7;1995;219641024.0;992;j
SO;aptinc992j;p99.6p99.7;1996;215578384.0;992;j
