country;variable;percentile;year;value;age;pop
SS;afdirx999i;p0p100;2014;0.0;999;i
SS;afdirx999i;p0p100;2015;27.4;999;i
SS;afdirx999i;p0p100;2016;71.099998;999;i
SS;afdirx999i;p0p100;2017;2849.8999;999;i
SS;afdirx999i;p0p100;2018;0.30000001;999;i
SS;annfin999i;p0p100;2008;50141.398;999;i
SS;annfin999i;p0p100;2009;46621.199;999;i
SS;annfin999i;p0p100;2010;54964.602;999;i
SS;annfin999i;p0p100;2011;63678.102;999;i
SS;annfin999i;p0p100;2012;55834.801;999;i
SS;annfin999i;p0p100;2013;23350.801;999;i
SS;annfin999i;p0p100;2014;-2.5;999;i
SS;annfin999i;p0p100;2015;-2941.2;999;i
SS;annfin999i;p0p100;2016;-3085.0;999;i
SS;annfin999i;p0p100;2017;-919.0;999;i
SS;annfin999i;p0p100;2018;-4910.1001;999;i
SS;annfin999i;p0p100;2019;-5258.2998;999;i
SS;aptinc992j;p10p20;2008;83530.203;992;j
SS;aptinc992j;p10p20;2009;83519.5;992;j
SS;aptinc992j;p10p20;2010;87651.203;992;j
SS;aptinc992j;p10p20;2011;85111.102;992;j
SS;aptinc992j;p10p20;2012;49706.699;992;j
SS;aptinc992j;p10p20;2013;44253.898;992;j
SS;aptinc992j;p10p20;2014;38015.301;992;j
SS;aptinc992j;p10p20;2015;32155.6;992;j
SS;aptinc992j;p10p20;2016;31787.6;992;j
SS;aptinc992j;p10p20;2017;31765.6;992;j
SS;bptinc992j;p21p100;2008;6.6801939;992;j
SS;bptinc992j;p21p100;2009;6.6801934;992;j
SS;bptinc992j;p21p100;2010;6.6801939;992;j
SS;bptinc992j;p21p100;2011;6.6801934;992;j
SS;bptinc992j;p21p100;2012;6.6801934;992;j
SS;bptinc992j;p21p100;2013;6.6801939;992;j
SS;bptinc992j;p21p100;2014;6.6801934;992;j
SS;bptinc992j;p21p100;2015;6.6801934;992;j
SS;bptinc992j;p21p100;2016;6.6801939;992;j
SS;bptinc992j;p21p100;2017;6.6801934;992;j
SS;bptinc992j;p26p100;2008;5.7818518;992;j
SS;bptinc992j;p26p100;2009;5.7818513;992;j
SS;bptinc992j;p26p100;2010;5.7818522;992;j
SS;bptinc992j;p26p100;2011;5.7818522;992;j
SS;bptinc992j;p26p100;2012;5.7818518;992;j
SS;bptinc992j;p26p100;2013;5.7818522;992;j
SS;bptinc992j;p26p100;2014;5.7818522;992;j
SS;bptinc992j;p26p100;2015;5.7818522;992;j
SS;bptinc992j;p26p100;2016;5.7818522;992;j
SS;bptinc992j;p26p100;2017;5.7818518;992;j
SS;bptinc992j;p9p100;2008;12.82626;992;j
SS;bptinc992j;p9p100;2009;12.826259;992;j
SS;bptinc992j;p9p100;2010;12.826259;992;j
SS;bptinc992j;p9p100;2011;12.826259;992;j
SS;bptinc992j;p9p100;2012;12.826259;992;j
SS;bptinc992j;p9p100;2013;12.826259;992;j
SS;bptinc992j;p9p100;2014;12.826259;992;j
SS;bptinc992j;p9p100;2015;12.826259;992;j
SS;bptinc992j;p9p100;2016;12.826259;992;j
SS;bptinc992j;p9p100;2017;12.826258;992;j
SS;sptinc992j;p1p100;2008;0.99989998;992;j
SS;sptinc992j;p1p100;2009;0.99989998;992;j
SS;sptinc992j;p1p100;2010;0.99989998;992;j
SS;sptinc992j;p1p100;2011;0.99989998;992;j
SS;sptinc992j;p1p100;2012;0.99989998;992;j
SS;sptinc992j;p1p100;2013;0.99989998;992;j
SS;sptinc992j;p1p100;2014;0.99989998;992;j
SS;sptinc992j;p1p100;2015;0.99989998;992;j
SS;sptinc992j;p1p100;2016;0.99989998;992;j
SS;sptinc992j;p1p100;2017;0.99989998;992;j
SS;sptinc992j;p33p34;2008;0.003;992;j
SS;sptinc992j;p33p34;2009;0.003;992;j
SS;sptinc992j;p33p34;2010;0.003;992;j
SS;sptinc992j;p33p34;2011;0.003;992;j
SS;sptinc992j;p33p34;2012;0.003;992;j
SS;sptinc992j;p33p34;2013;0.003;992;j
SS;sptinc992j;p33p34;2014;0.003;992;j
SS;sptinc992j;p33p34;2015;0.003;992;j
SS;sptinc992j;p33p34;2016;0.003;992;j
SS;sptinc992j;p33p34;2017;0.003;992;j
SS;sptinc992j;p55p56;2008;0.0057999999;992;j
SS;sptinc992j;p55p56;2009;0.0057999999;992;j
SS;sptinc992j;p55p56;2010;0.0057999999;992;j
SS;sptinc992j;p55p56;2011;0.0057999999;992;j
SS;sptinc992j;p55p56;2012;0.0057999999;992;j
SS;sptinc992j;p55p56;2013;0.0057999999;992;j
SS;sptinc992j;p55p56;2014;0.0057999999;992;j
SS;sptinc992j;p55p56;2015;0.0057999999;992;j
SS;sptinc992j;p55p56;2016;0.0057999999;992;j
SS;sptinc992j;p55p56;2017;0.0057999999;992;j
SS;sptinc992j;p56p100;2008;0.85329998;992;j
SS;sptinc992j;p56p100;2009;0.85329998;992;j
SS;sptinc992j;p56p100;2010;0.85329998;992;j
SS;sptinc992j;p56p100;2011;0.85329998;992;j
SS;sptinc992j;p56p100;2012;0.85329998;992;j
SS;sptinc992j;p56p100;2013;0.85329998;992;j
SS;sptinc992j;p56p100;2014;0.85329998;992;j
SS;sptinc992j;p56p100;2015;0.85329998;992;j
SS;sptinc992j;p56p100;2016;0.85329998;992;j
SS;sptinc992j;p56p100;2017;0.85329998;992;j
SS;sptinc992j;p81p100;2008;0.6365;992;j
SS;sptinc992j;p81p100;2009;0.6365;992;j
SS;sptinc992j;p81p100;2010;0.6365;992;j
SS;sptinc992j;p81p100;2011;0.6365;992;j
SS;sptinc992j;p81p100;2012;0.6365;992;j
SS;sptinc992j;p81p100;2013;0.6365;992;j
SS;sptinc992j;p81p100;2014;0.6365;992;j
SS;sptinc992j;p81p100;2015;0.6365;992;j
SS;sptinc992j;p81p100;2016;0.6365;992;j
SS;sptinc992j;p81p100;2017;0.6365;992;j
SS;sptinc992j;p85p86;2008;0.015799999;992;j
SS;sptinc992j;p85p86;2009;0.015799999;992;j
SS;sptinc992j;p85p86;2010;0.015799999;992;j
SS;sptinc992j;p85p86;2011;0.015799999;992;j
SS;sptinc992j;p85p86;2012;0.015799999;992;j
SS;sptinc992j;p85p86;2013;0.015799999;992;j
SS;sptinc992j;p85p86;2014;0.015799999;992;j
SS;sptinc992j;p85p86;2015;0.015799999;992;j
SS;sptinc992j;p85p86;2016;0.015799999;992;j
SS;sptinc992j;p85p86;2017;0.015799999;992;j
SS;sptinc992j;p99.5p99.6;2008;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2009;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2010;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2011;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2012;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2013;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2014;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2015;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2016;0.0116;992;j
SS;sptinc992j;p99.5p99.6;2017;0.0116;992;j
SS;tptinc992j;p16p100;2008;88485.797;992;j
SS;tptinc992j;p16p100;2009;88474.398;992;j
SS;tptinc992j;p16p100;2010;92851.297;992;j
SS;tptinc992j;p16p100;2011;90160.5;992;j
SS;tptinc992j;p16p100;2012;52655.602;992;j
SS;tptinc992j;p16p100;2013;46879.301;992;j
SS;tptinc992j;p16p100;2014;40270.602;992;j
SS;tptinc992j;p16p100;2015;34063.301;992;j
SS;tptinc992j;p16p100;2016;33673.5;992;j
SS;tptinc992j;p16p100;2017;33650.199;992;j
SS;tptinc992j;p2p3;2008;14100.2;992;j
SS;tptinc992j;p2p3;2009;14098.4;992;j
SS;tptinc992j;p2p3;2010;14795.9;992;j
SS;tptinc992j;p2p3;2011;14367.1;992;j
SS;tptinc992j;p2p3;2012;8390.7002;992;j
SS;tptinc992j;p2p3;2013;7470.2002;992;j
SS;tptinc992j;p2p3;2014;6417.1001;992;j
SS;tptinc992j;p2p3;2015;5428.0;992;j
SS;tptinc992j;p2p3;2016;5365.8999;992;j
SS;tptinc992j;p2p3;2017;5362.2002;992;j
SS;tptinc992j;p5p6;2008;32083.801;992;j
SS;tptinc992j;p5p6;2009;32079.699;992;j
SS;tptinc992j;p5p6;2010;33666.699;992;j
SS;tptinc992j;p5p6;2011;32691.0;992;j
SS;tptinc992j;p5p6;2012;19092.199;992;j
SS;tptinc992j;p5p6;2013;16997.801;992;j
SS;tptinc992j;p5p6;2014;14601.6;992;j
SS;tptinc992j;p5p6;2015;12350.9;992;j
SS;tptinc992j;p5p6;2016;12209.6;992;j
SS;tptinc992j;p5p6;2017;12201.1;992;j
SS;tptinc992j;p62p100;2008;421713.81;992;j
SS;tptinc992j;p62p100;2009;421659.81;992;j
SS;tptinc992j;p62p100;2010;442519.5;992;j
SS;tptinc992j;p62p100;2011;429695.5;992;j
SS;tptinc992j;p62p100;2012;250951.09;992;j
SS;tptinc992j;p62p100;2013;223421.8;992;j
SS;tptinc992j;p62p100;2014;191925.59;992;j
SS;tptinc992j;p62p100;2015;162341.8;992;j
SS;tptinc992j;p62p100;2016;160484.09;992;j
SS;tptinc992j;p62p100;2017;160373.2;992;j
SS;tptinc992j;p88p100;2008;1108477.4;992;j
SS;tptinc992j;p88p100;2009;1108335.3;992;j
SS;tptinc992j;p88p100;2010;1163165.3;992;j
SS;tptinc992j;p88p100;2011;1129457.3;992;j
SS;tptinc992j;p88p100;2012;659626.63;992;j
SS;tptinc992j;p88p100;2013;587265.69;992;j
SS;tptinc992j;p88p100;2014;504477.59;992;j
SS;tptinc992j;p88p100;2015;426716.5;992;j
SS;tptinc992j;p88p100;2016;421833.5;992;j
SS;tptinc992j;p88p100;2017;421541.91;992;j
SS;tptinc992j;p99.993p99.994;2008;38140068.0;992;j
SS;tptinc992j;p99.993p99.994;2009;38135172.0;992;j
SS;tptinc992j;p99.993p99.994;2010;40021740.0;992;j
SS;tptinc992j;p99.993p99.994;2011;38861932.0;992;j
SS;tptinc992j;p99.993p99.994;2012;22696178.0;992;j
SS;tptinc992j;p99.993p99.994;2013;20206414.0;992;j
SS;tptinc992j;p99.993p99.994;2014;17357872.0;992;j
SS;tptinc992j;p99.993p99.994;2015;14682297.0;992;j
SS;tptinc992j;p99.993p99.994;2016;14514287.0;992;j
SS;tptinc992j;p99.993p99.994;2017;14504254.0;992;j
SS;aflcir999i;p0p100;2014;19.4;999;i
SS;aflcir999i;p0p100;2015;142.39999;999;i
SS;aflcir999i;p0p100;2016;306.5;999;i
SS;aflcir999i;p0p100;2017;3849.0;999;i
SS;aflcir999i;p0p100;2018;1283.8;999;i
SS;aptinc992j;p38p100;2008;917234.69;992;j
SS;aptinc992j;p38p100;2009;917117.0;992;j
SS;aptinc992j;p38p100;2010;962487.31;992;j
SS;aptinc992j;p38p100;2011;934594.88;992;j
SS;aptinc992j;p38p100;2012;545822.88;992;j
SS;aptinc992j;p38p100;2013;485946.31;992;j
SS;aptinc992j;p38p100;2014;417441.41;992;j
SS;aptinc992j;p38p100;2015;353096.19;992;j
SS;aptinc992j;p38p100;2016;349055.69;992;j
SS;aptinc992j;p38p100;2017;348814.41;992;j
SS;aptinc992j;p45p100;2008;1004739.6;992;j
SS;aptinc992j;p45p100;2009;1004610.7;992;j
SS;aptinc992j;p45p100;2010;1054309.4;992;j
SS;aptinc992j;p45p100;2011;1023756.0;992;j
SS;aptinc992j;p45p100;2012;597894.81;992;j
SS;aptinc992j;p45p100;2013;532306.0;992;j
SS;aptinc992j;p45p100;2014;457265.59;992;j
SS;aptinc992j;p45p100;2015;386781.81;992;j
SS;aptinc992j;p45p100;2016;382355.91;992;j
SS;aptinc992j;p45p100;2017;382091.59;992;j
SS;aptinc992j;p5p100;2008;639255.0;992;j
SS;aptinc992j;p5p100;2009;639172.88;992;j
SS;aptinc992j;p5p100;2010;670793.19;992;j
SS;aptinc992j;p5p100;2011;651353.88;992;j
SS;aptinc992j;p5p100;2012;380404.31;992;j
SS;aptinc992j;p5p100;2013;338674.0;992;j
SS;aptinc992j;p5p100;2014;290930.41;992;j
SS;aptinc992j;p5p100;2015;246085.91;992;j
SS;aptinc992j;p5p100;2016;243269.91;992;j
SS;aptinc992j;p5p100;2017;243101.7;992;j
