country;variable;percentile;year;value;age;pop
XA-MER;aptinc992j;p15p100;1980;2658.3;992;j
XA-MER;aptinc992j;p15p100;1981;2684.8999;992;j
XA-MER;aptinc992j;p15p100;1982;2746.6001;992;j
XA-MER;aptinc992j;p15p100;1983;2793.8;992;j
XA-MER;aptinc992j;p15p100;1984;2830.8;992;j
XA-MER;aptinc992j;p15p100;1985;2868.5;992;j
XA-MER;aptinc992j;p15p100;1986;2870.3999;992;j
XA-MER;aptinc992j;p15p100;1987;2854.2;992;j
XA-MER;aptinc992j;p15p100;1988;2976.2;992;j
XA-MER;aptinc992j;p15p100;1989;3072.3;992;j
XA-MER;aptinc992j;p15p100;1990;3129.3;992;j
XA-MER;aptinc992j;p15p100;1991;3171.2;992;j
XA-MER;aptinc992j;p15p100;1992;3152.1001;992;j
XA-MER;aptinc992j;p15p100;1993;3130.8;992;j
XA-MER;aptinc992j;p15p100;1994;3149.3999;992;j
XA-MER;aptinc992j;p15p100;1995;3209.1001;992;j
XA-MER;aptinc992j;p15p100;1996;3270.6001;992;j
XA-MER;aptinc992j;p15p100;1997;3290.1001;992;j
XA-MER;aptinc992j;p15p100;1998;3153.2;992;j
XA-MER;aptinc992j;p15p100;1999;3144.6001;992;j
XA-MER;aptinc992j;p15p100;2000;3264.6001;992;j
XA-MER;aptinc992j;p15p100;2001;3247.3;992;j
XA-MER;aptinc992j;p15p100;2002;3264.6001;992;j
XA-MER;aptinc992j;p15p100;2003;3310.3999;992;j
XA-MER;aptinc992j;p15p100;2004;3404.0;992;j
XA-MER;aptinc992j;p15p100;2005;3494.8999;992;j
XA-MER;aptinc992j;p15p100;2006;3591.3;992;j
XA-MER;aptinc992j;p15p100;2007;3696.3;992;j
XA-MER;aptinc992j;p15p100;2008;3708.1001;992;j
XA-MER;aptinc992j;p15p100;2009;3549.8999;992;j
XA-MER;aptinc992j;p15p100;2010;3775.1001;992;j
XA-MER;aptinc992j;p15p100;2011;3865.7;992;j
XA-MER;aptinc992j;p15p100;2012;3906.5;992;j
XA-MER;aptinc992j;p15p100;2013;3966.8999;992;j
XA-MER;aptinc992j;p15p100;2014;4008.3999;992;j
XA-MER;aptinc992j;p15p100;2015;4071.0;992;j
XA-MER;aptinc992j;p15p100;2016;4210.7002;992;j
XA-MER;aptinc992j;p50p90;1980;2523.8999;992;j
XA-MER;aptinc992j;p50p90;1981;2550.1001;992;j
XA-MER;aptinc992j;p50p90;1982;2598.8;992;j
XA-MER;aptinc992j;p50p90;1983;2590.8999;992;j
XA-MER;aptinc992j;p50p90;1984;2623.2;992;j
XA-MER;aptinc992j;p50p90;1985;2629.3;992;j
XA-MER;aptinc992j;p50p90;1986;2592.7;992;j
XA-MER;aptinc992j;p50p90;1987;2575.6001;992;j
XA-MER;aptinc992j;p50p90;1988;2671.5;992;j
XA-MER;aptinc992j;p50p90;1989;2743.0;992;j
XA-MER;aptinc992j;p50p90;1990;2816.1001;992;j
XA-MER;aptinc992j;p50p90;1991;2803.7;992;j
XA-MER;aptinc992j;p50p90;1992;2755.3;992;j
XA-MER;aptinc992j;p50p90;1993;2703.3;992;j
XA-MER;aptinc992j;p50p90;1994;2711.0;992;j
XA-MER;aptinc992j;p50p90;1995;2778.0;992;j
XA-MER;aptinc992j;p50p90;1996;2852.5;992;j
XA-MER;aptinc992j;p50p90;1997;2868.8999;992;j
XA-MER;aptinc992j;p50p90;1998;2756.6001;992;j
XA-MER;aptinc992j;p50p90;1999;2744.3999;992;j
XA-MER;aptinc992j;p50p90;2000;2808.7;992;j
XA-MER;aptinc992j;p50p90;2001;2772.3999;992;j
XA-MER;aptinc992j;p50p90;2002;2705.8;992;j
XA-MER;aptinc992j;p50p90;2003;2724.3999;992;j
XA-MER;aptinc992j;p50p90;2004;2789.5;992;j
XA-MER;aptinc992j;p50p90;2005;2844.1001;992;j
XA-MER;aptinc992j;p50p90;2006;2936.8999;992;j
XA-MER;aptinc992j;p50p90;2007;3040.8;992;j
XA-MER;aptinc992j;p50p90;2008;3077.0;992;j
XA-MER;aptinc992j;p50p90;2009;3000.8;992;j
XA-MER;aptinc992j;p50p90;2010;3196.5;992;j
XA-MER;aptinc992j;p50p90;2011;3290.3999;992;j
XA-MER;aptinc992j;p50p90;2012;3439.7;992;j
XA-MER;aptinc992j;p50p90;2013;3455.7;992;j
XA-MER;aptinc992j;p50p90;2014;3572.3;992;j
XA-MER;aptinc992j;p50p90;2015;3634.3999;992;j
XA-MER;aptinc992j;p50p90;2016;3767.3;992;j
XA-MER;aptinc992j;p86p100;1980;9100.7002;992;j
XA-MER;aptinc992j;p86p100;1981;9159.0996;992;j
XA-MER;aptinc992j;p86p100;1982;9366.0;992;j
XA-MER;aptinc992j;p86p100;1983;9655.5996;992;j
XA-MER;aptinc992j;p86p100;1984;9646.2998;992;j
XA-MER;aptinc992j;p86p100;1985;9722.0996;992;j
XA-MER;aptinc992j;p86p100;1986;9825.5;992;j
XA-MER;aptinc992j;p86p100;1987;9738.2002;992;j
XA-MER;aptinc992j;p86p100;1988;10210.2;992;j
XA-MER;aptinc992j;p86p100;1989;10651.8;992;j
XA-MER;aptinc992j;p86p100;1990;10854.8;992;j
XA-MER;aptinc992j;p86p100;1991;11121.2;992;j
XA-MER;aptinc992j;p86p100;1992;11086.4;992;j
XA-MER;aptinc992j;p86p100;1993;11098.6;992;j
XA-MER;aptinc992j;p86p100;1994;11157.9;992;j
XA-MER;aptinc992j;p86p100;1995;11299.9;992;j
XA-MER;aptinc992j;p86p100;1996;11420.2;992;j
XA-MER;aptinc992j;p86p100;1997;11490.2;992;j
XA-MER;aptinc992j;p86p100;1998;10922.6;992;j
XA-MER;aptinc992j;p86p100;1999;10878.5;992;j
XA-MER;aptinc992j;p86p100;2000;11461.8;992;j
XA-MER;aptinc992j;p86p100;2001;11460.9;992;j
XA-MER;aptinc992j;p86p100;2002;11773.2;992;j
XA-MER;aptinc992j;p86p100;2003;11995.3;992;j
XA-MER;aptinc992j;p86p100;2004;12336.7;992;j
XA-MER;aptinc992j;p86p100;2005;12764.3;992;j
XA-MER;aptinc992j;p86p100;2006;13076.1;992;j
XA-MER;aptinc992j;p86p100;2007;13443.1;992;j
XA-MER;aptinc992j;p86p100;2008;13456.0;992;j
XA-MER;aptinc992j;p86p100;2009;12768.0;992;j
XA-MER;aptinc992j;p86p100;2010;13670.6;992;j
XA-MER;aptinc992j;p86p100;2011;13994.1;992;j
XA-MER;aptinc992j;p86p100;2012;13907.0;992;j
XA-MER;aptinc992j;p86p100;2013;14274.0;992;j
