country;variable;percentile;year;value;age;pop
XM;aptinc992j;p99.92p100;1990;2314868.3;992;j
XM;aptinc992j;p99.92p100;1991;2238001.8;992;j
XM;aptinc992j;p99.92p100;1992;2300718.8;992;j
XM;aptinc992j;p99.92p100;1993;2331157.0;992;j
XM;aptinc992j;p99.92p100;1994;2287535.8;992;j
XM;aptinc992j;p99.92p100;1995;2346291.8;992;j
XM;aptinc992j;p99.92p100;1996;2340215.3;992;j
XM;aptinc992j;p99.92p100;1997;2394563.5;992;j
XM;aptinc992j;p99.92p100;1998;2202683.3;992;j
XM;aptinc992j;p99.92p100;1999;2117595.8;992;j
XM;aptinc992j;p99.92p100;2000;2170722.0;992;j
XM;aptinc992j;p99.92p100;2001;2068856.3;992;j
XM;aptinc992j;p99.92p100;2002;1985358.5;992;j
XM;aptinc992j;p99.92p100;2003;2011624.8;992;j
XM;aptinc992j;p99.92p100;2004;2186227.0;992;j
XM;aptinc992j;p99.92p100;2005;2106784.3;992;j
XM;aptinc992j;p99.92p100;2006;2160057.5;992;j
XM;aptinc992j;p99.92p100;2007;2200195.5;992;j
XM;aptinc992j;p99.92p100;2008;2219580.8;992;j
XM;aptinc992j;p99.92p100;2009;1978400.3;992;j
XM;aptinc992j;p99.92p100;2010;2092709.5;992;j
XM;aptinc992j;p99.92p100;2011;2180620.8;992;j
XM;aptinc992j;p99.92p100;2012;2201412.5;992;j
XM;aptinc992j;p99.92p100;2013;2225497.0;992;j
XM;aptinc992j;p99.92p100;2014;2301460.0;992;j
XM;aptinc992j;p99.92p100;2015;2336967.3;992;j
XM;aptinc992j;p99.92p100;2016;2454764.8;992;j
XM;bptinc992j;p65p100;1990;0.0002647975;992;j
XM;bptinc992j;p65p100;1991;0.000274203;992;j
XM;bptinc992j;p65p100;1992;0.0002656142;992;j
XM;bptinc992j;p65p100;1993;0.0002596579;992;j
XM;bptinc992j;p65p100;1994;0.0002711393;992;j
XM;bptinc992j;p65p100;1995;0.0002683203;992;j
XM;bptinc992j;p65p100;1996;0.000257824;992;j
XM;bptinc992j;p65p100;1997;0.0002502607;992;j
XM;bptinc992j;p65p100;1998;0.0002358289;992;j
XM;bptinc992j;p65p100;1999;0.0002370279;992;j
XM;bptinc992j;p65p100;2000;0.000231805;992;j
XM;bptinc992j;p65p100;2001;0.0002395616;992;j
XM;bptinc992j;p65p100;2002;0.0002343451;992;j
XM;bptinc992j;p65p100;2003;0.0002366494;992;j
XM;bptinc992j;p65p100;2004;0.0002217591;992;j
XM;bptinc992j;p65p100;2005;0.0002101989;992;j
XM;bptinc992j;p65p100;2006;0.0001987118;992;j
XM;bptinc992j;p65p100;2007;0.000188418;992;j
XM;bptinc992j;p65p100;2008;0.0001880185;992;j
XM;bptinc992j;p65p100;2009;0.0001947831;992;j
XM;bptinc992j;p65p100;2010;0.0001902901;992;j
XM;bptinc992j;p65p100;2011;0.0001855228;992;j
XM;bptinc992j;p65p100;2012;0.0001885413;992;j
XM;bptinc992j;p65p100;2013;0.0001877678;992;j
XM;bptinc992j;p65p100;2014;0.0001870998;992;j
XM;bptinc992j;p65p100;2015;0.0001882905;992;j
XM;bptinc992j;p65p100;2016;0.0001846743;992;j
