country;variable;percentile;year;value;age;pop
ZZ;aptinc992j;p99.93p99.94;1990;43065828.0;992;j
ZZ;aptinc992j;p99.93p99.94;1991;44177324.0;992;j
ZZ;aptinc992j;p99.93p99.94;1992;46422336.0;992;j
ZZ;aptinc992j;p99.93p99.94;1993;48573092.0;992;j
ZZ;aptinc992j;p99.93p99.94;1994;49841596.0;992;j
ZZ;aptinc992j;p99.93p99.94;1995;50451272.0;992;j
ZZ;aptinc992j;p99.93p99.94;1996;57942352.0;992;j
ZZ;aptinc992j;p99.93p99.94;1997;78903048.0;992;j
ZZ;aptinc992j;p99.93p99.94;1998;59632432.0;992;j
ZZ;aptinc992j;p99.93p99.94;1999;63080944.0;992;j
ZZ;aptinc992j;p99.93p99.94;2000;63928544.0;992;j
ZZ;aptinc992j;p99.93p99.94;2001;71247448.0;992;j
ZZ;aptinc992j;p99.93p99.94;2002;77979936.0;992;j
ZZ;aptinc992j;p99.93p99.94;2003;83810352.0;992;j
ZZ;aptinc992j;p99.93p99.94;2004;90443768.0;992;j
ZZ;aptinc992j;p99.93p99.94;2005;95625648.0;992;j
ZZ;aptinc992j;p99.93p99.94;2006;98976432.0;992;j
ZZ;aptinc992j;p99.93p99.94;2007;109604968.0;992;j
ZZ;aptinc992j;p99.93p99.94;2008;111709464.0;992;j
ZZ;aptinc992j;p99.93p99.94;2009;116182864.0;992;j
ZZ;aptinc992j;p99.93p99.94;2010;118275408.0;992;j
ZZ;aptinc992j;p99.93p99.94;2011;124200152.0;992;j
ZZ;aptinc992j;p99.93p99.94;2012;129177536.0;992;j
ZZ;aptinc992j;p99.93p99.94;2013;129596904.0;992;j
ZZ;aptinc992j;p99.93p99.94;2014;133029688.0;992;j
ZZ;aptinc992j;p99.93p99.94;2015;136309504.0;992;j
ZZ;aptinc992j;p99.93p99.94;2016;139014432.0;992;j
ZZ;aptinc992j;p99.93p99.94;2017;144849824.0;992;j
ZZ;bptinc992j;p11p100;1990;5.6094494;992;j
ZZ;bptinc992j;p11p100;1991;5.6094489;992;j
ZZ;bptinc992j;p11p100;1992;5.6523361;992;j
ZZ;bptinc992j;p11p100;1993;5.6958804;992;j
ZZ;bptinc992j;p11p100;1994;5.7400951;992;j
ZZ;bptinc992j;p11p100;1995;5.7849975;992;j
ZZ;bptinc992j;p11p100;1996;5.8306036;992;j
ZZ;bptinc992j;p11p100;1997;5.8769283;992;j
ZZ;bptinc992j;p11p100;1998;5.9239902;992;j
ZZ;bptinc992j;p11p100;1999;5.9718065;992;j
ZZ;bptinc992j;p11p100;2000;6.0203967;992;j
ZZ;bptinc992j;p11p100;2001;6.0937648;992;j
ZZ;bptinc992j;p11p100;2002;6.1689157;992;j
ZZ;bptinc992j;p11p100;2003;6.2459135;992;j
ZZ;bptinc992j;p11p100;2004;6.3248291;992;j
ZZ;bptinc992j;p11p100;2005;6.4057331;992;j
ZZ;bptinc992j;p11p100;2006;6.4887023;992;j
ZZ;bptinc992j;p11p100;2007;6.5738182;992;j
ZZ;bptinc992j;p11p100;2008;6.3056803;992;j
ZZ;bptinc992j;p11p100;2009;6.0582352;992;j
ZZ;bptinc992j;p11p100;2010;5.8291774;992;j
ZZ;bptinc992j;p11p100;2011;5.6165304;992;j
ZZ;bptinc992j;p11p100;2012;5.6165309;992;j
ZZ;bptinc992j;p11p100;2013;5.6165309;992;j
ZZ;bptinc992j;p11p100;2014;5.6165309;992;j
ZZ;bptinc992j;p11p100;2015;5.6165309;992;j
ZZ;bptinc992j;p11p100;2016;5.6165309;992;j
ZZ;bptinc992j;p11p100;2017;5.6165309;992;j
ZZ;bptinc992j;p22p100;1990;3.8651068;992;j
ZZ;bptinc992j;p22p100;1991;3.8651066;992;j
ZZ;bptinc992j;p22p100;1992;3.8999369;992;j
ZZ;bptinc992j;p22p100;1993;3.9353802;992;j
ZZ;bptinc992j;p22p100;1994;3.9714525;992;j
ZZ;bptinc992j;p22p100;1995;4.0081711;992;j
ZZ;bptinc992j;p22p100;1996;4.0455532;992;j
ZZ;bptinc992j;p22p100;1997;4.0836172;992;j
ZZ;bptinc992j;p22p100;1998;4.1223817;992;j
ZZ;bptinc992j;p22p100;1999;4.1618667;992;j
ZZ;bptinc992j;p22p100;2000;4.2020907;992;j
ZZ;bptinc992j;p22p100;2001;4.2663894;992;j
ZZ;bptinc992j;p22p100;2002;4.3326044;992;j
ZZ;bptinc992j;p22p100;2003;4.4008222;992;j
ZZ;bptinc992j;p22p100;2004;4.4711366;992;j
ZZ;bptinc992j;p22p100;2005;4.5436449;992;j
ZZ;bptinc992j;p22p100;2006;4.6184516;992;j
ZZ;bptinc992j;p22p100;2007;4.6956673;992;j
ZZ;bptinc992j;p22p100;2008;4.5918941;992;j
ZZ;bptinc992j;p22p100;2009;4.4923244;992;j
ZZ;bptinc992j;p22p100;2010;4.3967085;992;j
ZZ;bptinc992j;p22p100;2011;4.3048143;992;j
ZZ;bptinc992j;p22p100;2012;4.3048143;992;j
ZZ;bptinc992j;p22p100;2013;4.3048143;992;j
ZZ;bptinc992j;p22p100;2014;4.3048143;992;j
ZZ;bptinc992j;p22p100;2015;4.3048143;992;j
ZZ;bptinc992j;p22p100;2016;4.3048143;992;j
ZZ;bptinc992j;p22p100;2017;4.3048143;992;j
ZZ;npopul951m;p0p100;1990;1.0;951;m
ZZ;npopul951m;p0p100;1991;1.0;951;m
ZZ;npopul951m;p0p100;1992;2.0;951;m
ZZ;npopul951m;p0p100;1993;3.0;951;m
ZZ;npopul951m;p0p100;1994;3.0;951;m
ZZ;npopul951m;p0p100;1995;1.0;951;m
ZZ;npopul951m;p0p100;1996;2.0;951;m
ZZ;npopul951m;p0p100;1997;2.0;951;m
ZZ;npopul951m;p0p100;1998;3.0;951;m
ZZ;npopul951m;p0p100;1999;3.0;951;m
ZZ;npopul951m;p0p100;2000;1.0;951;m
ZZ;npopul951m;p0p100;2001;2.0;951;m
ZZ;npopul951m;p0p100;2002;3.0;951;m
ZZ;npopul951m;p0p100;2003;3.0;951;m
ZZ;npopul951m;p0p100;2004;3.0;951;m
ZZ;npopul951m;p0p100;2005;1.0;951;m
ZZ;npopul951m;p0p100;2006;2.0;951;m
ZZ;npopul951m;p0p100;2007;3.0;951;m
ZZ;npopul951m;p0p100;2008;4.0;951;m
ZZ;npopul951m;p0p100;2009;3.0;951;m
ZZ;npopul951m;p0p100;2010;1.0;951;m
ZZ;npopul951m;p0p100;2011;2.0;951;m
ZZ;npopul951m;p0p100;2012;3.0;951;m
ZZ;npopul951m;p0p100;2013;3.0;951;m
ZZ;npopul951m;p0p100;2014;3.0;951;m
ZZ;npopul951m;p0p100;2015;1.0;951;m
ZZ;npopul951m;p0p100;2016;2.0;951;m
ZZ;npopul951m;p0p100;2017;3.0;951;m
ZZ;npopul951m;p0p100;2018;5.0;951;m
ZZ;npopul951m;p0p100;2019;5.0;951;m
ZZ;sptinc992j;p10p100;1990;0.98869997;992;j
ZZ;sptinc992j;p10p100;1991;0.98869997;992;j
ZZ;sptinc992j;p10p100;1992;0.98869997;992;j
ZZ;sptinc992j;p10p100;1993;0.98879999;992;j
ZZ;sptinc992j;p10p100;1994;0.98879999;992;j
ZZ;sptinc992j;p10p100;1995;0.98879999;992;j
ZZ;sptinc992j;p10p100;1996;0.98890001;992;j
ZZ;sptinc992j;p10p100;1997;0.98890001;992;j
ZZ;sptinc992j;p10p100;1998;0.98900002;992;j
ZZ;sptinc992j;p10p100;1999;0.98900002;992;j
ZZ;sptinc992j;p10p100;2000;0.98900002;992;j
ZZ;sptinc992j;p10p100;2001;0.9892;992;j
ZZ;sptinc992j;p10p100;2002;0.98940003;992;j
ZZ;sptinc992j;p10p100;2003;0.98949999;992;j
ZZ;sptinc992j;p10p100;2004;0.98970002;992;j
ZZ;sptinc992j;p10p100;2005;0.98979998;992;j
ZZ;sptinc992j;p10p100;2006;0.99000001;992;j
ZZ;sptinc992j;p10p100;2007;0.99019998;992;j
ZZ;sptinc992j;p10p100;2008;0.9896;992;j
ZZ;sptinc992j;p10p100;2009;0.98900002;992;j
ZZ;sptinc992j;p10p100;2010;0.98839998;992;j
ZZ;sptinc992j;p10p100;2011;0.9878;992;j
ZZ;sptinc992j;p10p100;2012;0.9878;992;j
ZZ;sptinc992j;p10p100;2013;0.9878;992;j
ZZ;sptinc992j;p10p100;2014;0.9878;992;j
ZZ;sptinc992j;p10p100;2015;0.9878;992;j
ZZ;sptinc992j;p10p100;2016;0.9878;992;j
ZZ;sptinc992j;p10p100;2017;0.9878;992;j
ZZ;sptinc992j;p17p18;1990;0.0027000001;992;j
ZZ;sptinc992j;p17p18;1991;0.0027000001;992;j
ZZ;sptinc992j;p17p18;1992;0.0027000001;992;j
ZZ;sptinc992j;p17p18;1993;0.0026;992;j
ZZ;sptinc992j;p17p18;1994;0.0026;992;j
ZZ;sptinc992j;p17p18;1995;0.0026;992;j
ZZ;sptinc992j;p17p18;1996;0.0026;992;j
ZZ;sptinc992j;p17p18;1997;0.0026;992;j
ZZ;sptinc992j;p17p18;1998;0.0026;992;j
ZZ;sptinc992j;p17p18;1999;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2000;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2001;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2002;0.0024000001;992;j
ZZ;sptinc992j;p17p18;2003;0.0024000001;992;j
ZZ;sptinc992j;p17p18;2004;0.0024000001;992;j
ZZ;sptinc992j;p17p18;2005;0.0023000001;992;j
ZZ;sptinc992j;p17p18;2006;0.0023000001;992;j
ZZ;sptinc992j;p17p18;2007;0.0022;992;j
ZZ;sptinc992j;p17p18;2008;0.0023000001;992;j
ZZ;sptinc992j;p17p18;2009;0.0024000001;992;j
ZZ;sptinc992j;p17p18;2010;0.0024000001;992;j
ZZ;sptinc992j;p17p18;2011;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2012;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2013;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2014;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2015;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2016;0.0024999999;992;j
ZZ;sptinc992j;p17p18;2017;0.0024999999;992;j
ZZ;tfiinc992i;p99.9p100;1957;84111432.0;992;i
ZZ;tfiinc992i;p99.9p100;1958;72909080.0;992;i
ZZ;tfiinc992i;p99.9p100;1959;76107936.0;992;i
ZZ;tfiinc992i;p99.9p100;1960;82962688.0;992;i
ZZ;tfiinc992i;p99.9p100;1961;96625152.0;992;i
ZZ;tfiinc992i;p99.9p100;1962;99336312.0;992;i
ZZ;tfiinc992i;p99.9p100;1963;97835312.0;992;i
ZZ;tptinc992j;p14p15;1990;518306.31;992;j
ZZ;tptinc992j;p14p15;1991;531683.38;992;j
ZZ;tptinc992j;p14p15;1992;545914.31;992;j
ZZ;tptinc992j;p14p15;1993;558226.63;992;j
ZZ;tptinc992j;p14p15;1994;559878.38;992;j
ZZ;tptinc992j;p14p15;1995;554023.38;992;j
ZZ;tptinc992j;p14p15;1996;622115.31;992;j
ZZ;tptinc992j;p14p15;1997;828413.63;992;j
ZZ;tptinc992j;p14p15;1998;612313.13;992;j
ZZ;tptinc992j;p14p15;1999;633550.31;992;j
ZZ;tptinc992j;p14p15;2000;628091.38;992;j
ZZ;tptinc992j;p14p15;2001;657045.31;992;j
ZZ;tptinc992j;p14p15;2002;676503.31;992;j
ZZ;tptinc992j;p14p15;2003;685348.13;992;j
ZZ;tptinc992j;p14p15;2004;698389.31;992;j
ZZ;tptinc992j;p14p15;2005;698398.0;992;j
ZZ;tptinc992j;p14p15;2006;684709.63;992;j
ZZ;tptinc992j;p14p15;2007;719161.63;992;j
ZZ;tptinc992j;p14p15;2008;750642.31;992;j
ZZ;tptinc992j;p14p15;2009;798796.81;992;j
ZZ;tptinc992j;p14p15;2010;831332.0;992;j
ZZ;tptinc992j;p14p15;2011;891771.63;992;j
ZZ;tptinc992j;p14p15;2012;927509.81;992;j
ZZ;tptinc992j;p14p15;2013;930520.88;992;j
ZZ;tptinc992j;p14p15;2014;955168.69;992;j
ZZ;tptinc992j;p14p15;2015;978718.13;992;j
ZZ;tptinc992j;p14p15;2016;998139.88;992;j
ZZ;tptinc992j;p14p15;2017;1040038.6;992;j
ZZ;tptinc992j;p59p100;1990;1576624.0;992;j
ZZ;tptinc992j;p59p100;1991;1617315.5;992;j
ZZ;tptinc992j;p59p100;1992;1667631.6;992;j
ZZ;tptinc992j;p59p100;1993;1712544.8;992;j
ZZ;tptinc992j;p59p100;1994;1725055.1;992;j
ZZ;tptinc992j;p59p100;1995;1714500.8;992;j
ZZ;tptinc992j;p59p100;1996;1933765.6;992;j
ZZ;tptinc992j;p59p100;1997;2586586.0;992;j
ZZ;tptinc992j;p59p100;1998;1920542.0;992;j
ZZ;tptinc992j;p59p100;1999;1996301.9;992;j
ZZ;tptinc992j;p59p100;2000;1988326.4;992;j
ZZ;tptinc992j;p59p100;2001;2086461.8;992;j
ZZ;tptinc992j;p59p100;2002;2155112.0;992;j
ZZ;tptinc992j;p59p100;2003;2190442.0;992;j
ZZ;tptinc992j;p59p100;2004;2239628.0;992;j
ZZ;tptinc992j;p59p100;2005;2247386.8;992;j
ZZ;tptinc992j;p59p100;2006;2211149.5;992;j
ZZ;tptinc992j;p59p100;2007;2330863.5;992;j
ZZ;tptinc992j;p59p100;2008;2356241.0;992;j
ZZ;tptinc992j;p59p100;2009;2431145.8;992;j
ZZ;tptinc992j;p59p100;2010;2455823.3;992;j
ZZ;tptinc992j;p59p100;2011;2559501.3;992;j
ZZ;tptinc992j;p59p100;2012;2662074.5;992;j
ZZ;tptinc992j;p59p100;2013;2670716.8;992;j
ZZ;tptinc992j;p59p100;2014;2741459.3;992;j
ZZ;tptinc992j;p59p100;2015;2809049.0;992;j
ZZ;tptinc992j;p59p100;2016;2864792.0;992;j
ZZ;tptinc992j;p59p100;2017;2985047.0;992;j
ZZ;aptinc992j;p30p40;1990;986743.38;992;j
ZZ;aptinc992j;p30p40;1991;1012210.5;992;j
ZZ;aptinc992j;p30p40;1992;1038993.2;992;j
ZZ;aptinc992j;p30p40;1993;1062105.8;992;j
ZZ;aptinc992j;p30p40;1994;1064920.6;992;j
ZZ;aptinc992j;p30p40;1995;1053455.3;992;j
ZZ;aptinc992j;p30p40;1996;1182553.1;992;j
ZZ;aptinc992j;p30p40;1997;1574187.3;992;j
ZZ;aptinc992j;p30p40;1998;1163163.8;992;j
ZZ;aptinc992j;p30p40;1999;1203103.1;992;j
ZZ;aptinc992j;p30p40;2000;1192331.9;992;j
ZZ;aptinc992j;p30p40;2001;1249163.6;992;j
ZZ;aptinc992j;p30p40;2002;1288136.8;992;j
ZZ;aptinc992j;p30p40;2003;1307042.4;992;j
ZZ;aptinc992j;p30p40;2004;1334077.3;992;j
ZZ;aptinc992j;p30p40;2005;1336324.8;992;j
ZZ;aptinc992j;p30p40;2006;1312385.0;992;j
ZZ;aptinc992j;p30p40;2007;1380859.6;992;j
ZZ;aptinc992j;p30p40;2008;1410095.4;992;j
ZZ;aptinc992j;p30p40;2009;1469508.6;992;j
ZZ;aptinc992j;p30p40;2010;1499092.5;992;j
ZZ;aptinc992j;p30p40;2011;1577595.1;992;j
ZZ;aptinc992j;p30p40;2012;1640818.0;992;j
ZZ;aptinc992j;p30p40;2013;1646144.9;992;j
ZZ;aptinc992j;p30p40;2014;1689748.3;992;j
ZZ;aptinc992j;p30p40;2015;1731408.4;992;j
ZZ;aptinc992j;p30p40;2016;1765766.8;992;j
ZZ;aptinc992j;p30p40;2017;1839887.9;992;j
ZZ;aptinc992j;p3p100;1990;2289204.0;992;j
ZZ;aptinc992j;p3p100;1991;2348286.8;992;j
ZZ;aptinc992j;p3p100;1992;2430439.5;992;j
ZZ;aptinc992j;p3p100;1993;2505307.5;992;j
ZZ;aptinc992j;p3p100;1994;2533160.8;992;j
ZZ;aptinc992j;p3p100;1995;2527227.5;992;j
ZZ;aptinc992j;p3p100;1996;2861301.5;992;j
ZZ;aptinc992j;p3p100;1997;3841901.5;992;j
ZZ;aptinc992j;p3p100;1998;2863577.5;992;j
ZZ;aptinc992j;p3p100;1999;2988020.8;992;j
ZZ;aptinc992j;p3p100;2000;2987609.0;992;j
ZZ;aptinc992j;p3p100;2001;3169730.5;992;j
ZZ;aptinc992j;p3p100;2002;3310627.8;992;j
ZZ;aptinc992j;p3p100;2003;3402943.8;992;j
ZZ;aptinc992j;p3p100;2004;3519140.5;992;j
ZZ;aptinc992j;p3p100;2005;3572174.3;992;j
