country;variable;age;pop;countryname;shortname;simpledes;technicaldes;shorttype;longtype;shortpop;longpop;shortage;longage;unit;source;method
MZ;accmhni992;992;i;Mozambique;Consumption of fixed capital attributable to mixed income;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Adults;The population is comprised of individuals over age 20.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;accmhni999;999;i;Mozambique;Consumption of fixed capital attributable to mixed income;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;All Ages;The population is comprised of individuals of all ages.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;accmhoi992;992;i;Mozambique;Consumption of fixed capital attributable to mixed income;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Adults;The population is comprised of individuals over age 20.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;accmhoi999;999;i;Mozambique;Consumption of fixed capital attributable to mixed income;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;All Ages;The population is comprised of individuals of all ages.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;accshni992;992;i;Mozambique;Consumption of fixed capital attributable to operating surplus;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Adults;The population is comprised of individuals over age 20.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;accshni999;999;i;Mozambique;Consumption of fixed capital attributable to operating surplus;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;All Ages;The population is comprised of individuals of all ages.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;accshoi992;992;i;Mozambique;Consumption of fixed capital attributable to operating surplus;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Adults;The population is comprised of individuals over age 20.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;accshoi999;999;i;Mozambique;Consumption of fixed capital attributable to operating surplus;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;All Ages;The population is comprised of individuals of all ages.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;acfccoi992;992;i;Mozambique;Consumption of fixed capital of corporations;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Adults;The population is comprised of individuals over age 20.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;acfccoi999;999;i;Mozambique;Consumption of fixed capital of corporations;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;All Ages;The population is comprised of individuals of all ages.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–1999: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;acfcfci992;992;i;Mozambique;Consumption of fixed capital of financial coporations;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Adults;The population is comprised of individuals over age 20.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–2012: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
MZ;acfcfci999;999;i;Mozambique;Consumption of fixed capital of financial coporations;;;Average;Average income or wealth between two percentiles. When the associated percentile is of the form 'pX', intermediary average returns the average between percentile pX and the next consecutive percentile. When the associated percentile is of the form 'pXpY', the variable returns the average between percentiles pX and pY.;individuals;The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;All Ages;The population is comprised of individuals of all ages.;MZN;See DINA guidelines for methodological explanations.;"WID.world estimations as a proportion of GDP based on the following; 1996–2012: imputed value. These estimates are then anchored to GDP (see GDP variable for details)."
